gender,educ,job,salary,jobtime,prevexp
male,19,manager,52125,80,221
male,19,manager,61875,80,199
male,16,manager,83750,79,12
male,16,manager,56500,79,12
male,19,manager,68125,78,35
male,19,manager,73500,78,45
male,15,manager,40050,78,133
male,15,manager,38700,78,176
male,17,manager,65000,78,26
male,18,manager,51450,78,149
male,16,manager,50000,77,264
male,16,manager,48750,76,61
male,18,manager,55000,75,125
male,18,manager,62500,75,74
male,16,manager,47250,74,45
male,12,manager,59400,74,272
male,16,manager,103500,73,150
male,17,manager,78500,70,67
male,19,manager,65000,69,74
male,19,manager,66875,69,81
male,17,manager,60000,68,17
male,19,manager,61250,68,9
male,19,manager,70000,67,75
male,19,manager,66250,67,99
male,18,manager,86250,66,50
male,16,manager,100000,66,128
male,16,manager,70000,65,19
male,19,manager,55000,65,129
male,19,manager,90625,65,18
male,16,manager,43650,65,19
male,19,manager,75000,65,54
male,19,manager,61875,65,26
male,19,manager,47550,64,27
