tenure,age,income,educ,members,churn
60,55,67,1,2,0
48,45,42,1,2,0
8,63,31,1,2,0
58,58,96,2,4,0
16,24,24,3,5,0
33,33,53,2,1,0
39,25,18,1,1,0
62,51,43,4,2,0
50,34,104,3,1,0
48,55,26,1,1,0
31,62,56,2,1,0
65,33,49,2,5,0
36,58,80,1,1,0
61,46,318,3,1,0
48,42,35,4,1,0
35,45,29,1,1,0
51,28,43,5,5,0
49,51,80,5,2,1
35,39,30,3,3,1
58,70,9,3,1,0
23,35,23,2,5,0
26,39,58,4,2,0
38,37,52,1,4,0
35,66,14,3,2,0
37,50,110,2,1,0
48,43,60,2,2,0
13,43,123,3,5,0
72,63,15,5,2,0
30,27,47,4,2,1
24,43,138,4,1,0
25,51,359,3,2,0
50,52,214,3,1,0
28,40,64,1,1,0
34,51,50,4,1,0
48,32,88,3,1,0
42,36,86,2,2,0
67,65,17,1,2,0
17,41,25,2,3,0
29,38,46,2,2,0
66,61,361,1,1,0
1,21,18,3,1,1
28,33,14,4,3,1
15,35,34,3,2,1
12,64,9,2,1,0
48,49,39,2,1,1
59,25,18,3,4,0
8,26,25,4,2,1
45,52,46,5,1,1
25,39,94,4,4,1
21,44,26,3,2,0
17,68,335,1,3,0
41,45,25,3,1,1
13,45,99,3,2,1
1,26,30,2,5,1
3,31,35,2,3,1
23,27,51,5,2,1
26,42,49,3,1,1
37,51,54,1,3,0
5,30,46,4,1,1
32,27,91,4,3,1
12,22,23,4,2,0
72,54,345,1,2,0
3,25,45,4,2,1
54,43,53,2,1,0
26,26,14,2,1,1
14,36,67,5,1,0
22,51,49,3,1,0
65,47,37,1,4,0
26,45,33,1,1,0
20,37,46,3,4,0
67,60,93,1,4,0
34,55,48,2,1,0
37,54,183,2,3,0
22,23,16,1,4,0
5,69,11,2,1,0
28,31,42,4,3,0
20,41,67,4,4,0
72,41,181,4,1,0
30,43,53,4,1,0
71,52,172,2,1,0
56,44,87,2,1,0
8,29,21,5,2,1
32,65,9,2,1,0
46,47,144,3,2,1
60,45,117,4,3,0
42,32,59,4,6,0
71,60,508,4,4,0
72,63,222,2,2,0
45,66,87,3,1,0
5,31,34,1,1,1
17,38,18,4,4,0
70,55,65,3,1,0
57,57,130,3,2,0
20,33,44,3,1,0
72,52,63,1,3,0
32,50,57,4,1,0
22,57,264,1,2,0
6,24,28,1,2,1
32,23,26,3,6,0
38,33,38,4,1,0
53,35,59,3,1,0
37,76,117,4,1,0
47,35,70,4,2,1
69,59,104,2,1,0
63,56,71,3,1,0
61,34,70,3,3,1
56,38,56,4,2,0
40,57,68,1,2,0
61,45,80,2,1,0
16,26,21,4,6,0
7,43,69,3,1,0
20,31,39,2,2,0
35,38,90,2,4,0
60,37,64,5,2,0
47,25,28,2,1,0
33,28,24,2,6,0
12,34,44,2,1,0
10,31,32,4,2,1
69,33,52,4,3,0
23,20,15,3,1,0
53,31,46,3,2,0
60,57,107,2,2,0
33,33,56,2,1,0
67,40,40,4,4,0
15,38,56,3,3,0
64,31,46,2,4,0
46,49,51,2,2,1
72,60,12,1,3,0
61,43,34,5,3,1
54,27,27,2,5,0
28,36,42,3,1,0
28,38,119,5,3,1
32,43,146,1,1,0
52,46,51,2,3,0
48,62,86,1,1,0
52,42,27,3,2,0
37,43,38,3,1,0
41,52,928,3,3,0
43,27,21,2,3,0
67,60,24,1,1,0
61,52,91,1,2,0
70,39,38,2,4,0
44,32,96,4,4,0
46,45,96,3,1,0
39,34,54,3,1,0
39,59,1668,4,1,0
50,29,53,4,4,0
5,31,21,3,2,1
10,34,52,5,1,1
72,69,17,3,1,0
68,60,262,2,1,0
58,28,34,5,1,0
18,44,107,1,7,0
65,45,67,5,2,0
8,45,37,4,1,1
1,20,21,2,2,1
42,58,22,1,1,0
4,25,71,3,5,0
17,35,77,3,1,0
8,24,18,4,5,1
49,37,50,2,2,0
56,46,33,4,2,0
62,57,94,1,2,0
42,57,209,1,4,0
13,32,31,4,2,0
69,46,66,2,4,0
45,59,51,1,2,0
66,42,118,2,2,0
15,35,25,2,1,1
41,44,59,3,3,0
11,20,20,2,1,1
45,30,63,5,4,1
52,62,36,4,1,0
42,56,72,4,1,0
48,35,50,1,3,0
4,31,39,2,2,1
53,64,54,2,2,0
1,59,9,1,1,0
19,30,33,4,3,0
33,30,28,1,1,0
42,36,44,2,3,0
60,32,34,4,2,0
57,51,68,4,3,0
64,39,37,1,1,0
28,20,18,3,3,0
29,35,55,2,4,1
46,31,21,1,5,0
22,41,29,3,4,1
10,56,9,2,2,0
50,41,138,2,1,1
55,65,28,4,1,0
15,54,62,1,1,0
31,32,37,3,3,0
5,44,83,1,1,1
69,63,168,1,2,0
26,27,33,4,6,1
10,33,66,3,4,1
26,30,18,4,3,1
25,30,20,1,1,0
30,23,19,3,4,0
21,39,25,2,4,0
71,46,119,5,1,0
11,48,323,4,4,1
24,30,45,1,2,0
65,59,197,4,2,0
16,34,56,3,3,1
37,51,24,4,2,0
5,30,25,3,1,1
3,55,26,5,2,1
5,32,33,4,2,1
60,44,150,2,2,0
19,37,99,2,3,1
54,40,50,4,2,0
25,41,81,3,4,0
1,36,21,1,2,1
54,68,273,3,1,0
14,31,39,3,7,0
14,28,17,2,4,1
10,45,115,3,4,1
7,23,27,2,3,0
33,45,35,1,1,1
3,23,20,2,1,0
56,58,92,1,3,0
54,56,207,2,1,0
72,55,40,1,5,0
18,29,40,2,1,0
25,29,55,4,1,1
42,62,26,1,1,0
4,37,41,2,1,0
12,50,203,4,2,1
53,64,380,2,2,0
13,38,104,4,7,1
18,31,24,3,4,0
67,42,81,3,5,0
6,24,17,1,1,0
25,46,45,1,1,0
15,39,32,2,1,1
32,35,57,4,1,0
22,39,63,4,1,1
8,22,25,4,1,0
3,31,22,1,2,1
32,54,155,2,1,0
49,54,30,2,1,0
2,28,46,3,1,0
39,47,68,4,2,1
42,33,67,2,2,0
28,36,69,3,1,0
41,46,47,2,5,0
67,50,83,2,2,0
38,40,34,2,1,0
18,38,45,2,4,1
6,42,29,2,2,0
4,36,21,2,3,0
13,23,30,3,4,0
20,35,78,4,1,1
34,49,61,3,2,0
46,29,90,5,4,0
48,41,43,2,1,0
69,61,301,2,2,0
32,34,32,2,4,0
29,29,41,2,2,0
55,52,127,1,3,0
72,60,271,1,2,0
29,26,32,3,1,1
50,25,36,4,5,0
35,50,293,3,2,1
11,63,41,3,1,1
9,29,39,3,1,0
51,48,58,1,1,1
33,34,28,1,3,0
25,20,15,2,2,0
31,34,105,4,4,0
67,40,80,4,2,0
55,45,36,2,3,0
19,50,112,4,1,0
39,34,55,4,4,0
52,35,40,4,2,0
55,37,23,2,5,0
25,62,28,4,1,1
33,58,21,2,1,0
48,35,63,4,2,1
48,31,52,4,3,0
49,57,189,1,3,0
54,32,50,1,3,1
45,32,23,1,4,0
4,37,33,2,5,1
49,27,29,3,3,1
23,35,96,3,1,1
31,44,80,5,1,1
55,44,68,2,5,0
9,28,30,1,6,0
55,57,34,2,3,0
34,30,35,2,3,0
10,23,36,2,3,0
62,76,35,3,1,0
51,36,62,3,2,0
65,48,94,1,1,0
53,33,60,1,2,0
23,35,118,2,1,1
1,30,135,4,3,1
66,55,80,2,1,0
8,27,21,3,2,0
18,28,22,1,5,0
36,32,63,4,4,0
13,40,142,2,1,1
4,44,32,3,1,1
20,32,19,3,1,0
66,39,60,4,3,0
67,47,97,1,4,0
11,24,31,2,4,1
6,26,30,3,2,1
13,23,31,1,4,0
2,29,44,2,6,1
4,40,38,2,1,0
34,63,23,2,2,0
13,34,37,3,4,0
37,40,26,2,5,0
45,30,38,2,6,0
71,70,153,3,1,0
35,40,49,1,1,0
44,41,51,3,1,0
44,45,88,1,2,0
26,41,19,1,6,0
42,46,31,1,3,0
41,47,90,2,3,1
31,24,14,1,4,0
62,63,341,2,1,1
12,23,24,4,8,0
45,49,81,2,4,0
47,34,63,2,4,0
23,22,27,1,5,0
39,34,20,5,1,0
19,26,48,3,2,0
13,54,121,4,1,0
5,33,39,3,3,1
11,19,21,2,1,1
4,32,53,4,1,1
17,42,58,1,1,1
7,27,39,3,1,1
19,65,108,1,3,0
32,34,38,1,4,0
53,51,245,4,1,0
51,38,51,1,1,0
35,34,78,4,1,0
3,31,23,4,5,1
22,48,88,4,1,1
17,21,25,2,3,0
68,39,73,2,1,0
27,41,62,4,2,0
68,52,456,3,4,0
56,42,24,2,2,0
11,32,23,2,1,0
5,47,46,1,1,1
16,50,263,2,3,0
59,30,34,4,1,0
60,64,33,2,1,0
55,47,37,1,1,0
18,56,296,2,1,0
16,22,26,3,3,1
35,57,47,4,2,0
31,23,31,3,2,1
20,49,264,2,2,0
16,27,41,4,1,1
69,48,55,2,2,0
69,66,49,2,2,0
27,24,26,1,4,1
48,39,110,4,1,0
18,52,66,1,2,0
24,40,39,3,2,0
17,42,31,2,1,1
9,24,26,4,3,0
15,46,232,4,2,1
62,37,43,4,3,0
9,41,39,4,1,1
71,41,73,2,2,0
62,59,74,1,2,0
20,38,237,4,1,0
19,33,22,1,5,0
49,61,21,1,2,0
3,64,9,2,1,1
33,36,41,5,1,1
38,44,50,4,1,1
42,48,27,3,3,0
11,26,53,3,1,1
27,28,58,3,2,0
23,50,151,4,1,0
4,38,54,2,2,0
36,42,31,1,1,1
37,42,115,1,1,0
24,58,24,1,2,0
4,24,17,2,3,1
54,33,47,2,2,0
7,49,36,1,1,1
10,28,75,4,1,1
24,35,41,5,2,0
12,31,18,4,1,1
45,54,171,3,1,0
59,55,42,3,2,0
3,21,36,3,4,0
8,35,31,5,1,1
16,59,207,2,2,0
32,33,38,1,1,0
8,49,134,4,1,1
9,28,28,3,3,1
12,19,15,2,4,0
24,43,48,4,6,0
72,75,14,2,1,0
58,61,101,4,1,0
70,44,87,2,3,0
9,25,27,1,1,1
49,25,27,5,1,0
52,54,59,3,1,0
10,42,294,4,6,1
14,52,44,3,2,0
19,27,35,2,6,0
12,36,205,4,4,1
65,59,732,3,1,0
67,40,59,3,2,0
29,24,23,1,2,0
55,46,87,2,1,0
71,67,110,1,2,0
5,44,83,3,3,1
60,58,63,4,3,0
10,40,22,3,1,1
52,64,43,3,1,0
61,43,35,2,3,0
61,29,48,2,4,0
67,47,69,3,3,0
41,42,26,4,4,0
30,28,20,1,1,1
24,46,43,2,1,0
72,75,33,1,1,0
17,35,66,2,1,1
65,72,12,2,1,0
15,30,90,2,5,0
34,33,35,3,1,1
26,43,51,5,1,1
36,45,117,3,1,0
60,48,100,2,1,0
16,54,147,1,4,0
1,33,53,4,1,1
56,30,57,5,4,0
6,50,37,2,1,0
48,34,42,3,1,0
34,36,50,1,2,0
54,42,55,4,5,1
38,31,42,2,4,0
25,55,37,1,1,1
47,69,228,3,4,1
72,62,163,5,2,0
6,35,28,4,3,0
30,51,118,5,2,0
65,70,115,2,2,0
22,44,37,4,2,0
60,53,93,1,1,0
19,32,71,4,1,1
18,25,26,2,3,0
9,37,14,4,6,1
1,34,18,1,2,1
10,28,36,4,3,0
45,34,43,4,4,1
25,28,41,4,4,1
66,39,66,2,1,0
27,67,33,4,1,1
19,41,53,4,1,0
17,41,28,4,6,0
16,36,58,4,1,0
8,42,129,4,3,0
3,25,65,4,1,1
59,57,311,3,1,0
45,37,57,3,1,0
66,62,47,2,1,0
28,50,25,1,2,0
15,38,46,5,3,1
39,34,51,3,4,0
38,33,19,2,2,0
34,29,26,3,2,0
60,57,72,5,2,0
72,65,71,1,4,0
42,42,41,2,8,0
32,37,44,2,1,0
48,50,208,4,2,1
63,37,45,4,6,0
45,27,39,3,4,0
68,42,89,4,1,0
6,29,19,2,2,0
68,57,15,2,2,1
72,68,59,2,2,0
53,38,20,3,4,0
20,51,27,4,3,0
70,35,48,2,3,0
32,47,135,2,1,0
61,52,19,1,2,1
24,25,28,4,3,0
56,61,12,1,2,0
54,59,28,2,1,0
43,38,18,3,3,0
19,35,58,3,1,1
5,43,72,3,1,0
24,61,112,4,4,1
62,35,28,2,2,0
14,40,398,5,1,1
60,48,106,3,3,0
30,74,10,1,2,0
40,42,108,3,4,1
42,50,85,2,4,0
20,34,51,3,1,1
4,22,22,2,3,0
44,49,66,2,4,0
49,63,10,2,1,0
5,36,34,1,2,1
70,50,67,1,4,0
30,57,19,1,4,1
28,48,128,4,1,1
5,28,39,5,6,0
27,35,56,1,1,0
17,39,45,4,1,1
4,37,25,1,5,0
30,23,24,2,4,0
71,40,53,4,2,0
67,77,49,1,1,0
24,48,38,1,2,0
24,54,84,3,2,1
59,54,126,1,1,0
59,32,73,4,1,1
44,37,41,4,6,0
19,31,22,4,3,1
58,46,23,1,2,0
41,53,94,2,2,0
16,33,30,3,4,1
13,36,31,2,1,1
60,53,171,1,1,0
72,49,102,1,6,0
33,39,27,4,1,0
72,45,98,4,2,0
66,54,591,4,2,0
53,37,25,1,6,0
22,28,36,4,4,0
14,26,25,2,3,0
52,49,69,2,2,0
33,30,22,1,2,0
72,66,67,2,1,0
40,40,73,4,4,1
29,26,22,4,1,1
63,67,9,2,1,0
56,54,147,3,1,0
60,50,239,2,2,0
28,22,23,3,5,0
39,39,29,4,1,0
65,39,32,2,4,0
29,31,30,3,1,0
28,36,57,2,2,0
2,18,20,2,1,1
67,52,248,2,3,0
5,35,59,3,5,0
48,35,24,2,1,0
10,26,25,1,3,0
17,28,37,3,1,1
21,24,30,4,5,0
25,51,66,4,2,0
44,31,16,1,1,1
59,49,429,4,2,1
11,26,20,2,1,0
50,68,262,3,2,0
23,25,28,3,5,0
17,19,18,2,2,1
15,62,144,3,2,0
68,57,33,1,2,0
69,42,19,3,2,0
30,24,30,1,5,1
22,30,41,2,1,0
10,20,20,2,4,1
72,59,65,3,6,0
34,24,17,4,2,0
43,49,66,1,4,0
31,37,18,4,3,0
6,27,26,4,5,1
48,42,46,4,1,0
50,25,19,1,3,0
20,41,58,2,2,0
61,73,25,1,1,0
6,21,15,2,1,0
1,22,35,2,1,1
21,43,41,2,1,1
7,32,71,4,2,0
65,56,608,3,2,0
64,37,44,4,1,0
4,30,41,2,2,1
67,45,83,3,2,0
22,35,28,2,2,1
51,37,101,2,2,0
50,28,28,1,1,0
31,47,35,2,2,0
4,28,39,2,1,1
60,56,51,4,1,0
7,31,31,2,6,1
20,40,209,4,1,0
19,23,37,3,4,1
58,37,64,4,2,1
65,64,88,3,1,1
72,61,61,1,3,0
8,42,66,3,1,0
33,40,19,3,2,0
18,34,42,2,5,0
24,31,41,2,5,0
70,36,50,1,1,0
7,38,70,4,1,1
70,59,85,1,1,0
20,48,45,3,2,1
54,32,27,1,2,0
36,48,29,1,1,0
71,53,48,4,2,0
17,41,32,2,1,0
18,45,43,1,3,0
16,27,16,5,1,1
38,30,22,2,2,0
52,45,40,3,3,0
46,48,256,3,6,0
31,46,144,4,1,0
23,31,45,4,2,0
38,56,34,2,3,0
50,54,248,3,1,0
16,49,41,2,1,0
14,34,27,4,2,0
30,52,17,3,1,1
22,47,44,4,3,1
38,55,135,2,4,0
59,26,41,4,3,1
54,55,587,3,1,0
9,40,38,4,1,1
67,67,49,2,2,0
24,44,33,3,2,0
12,55,36,1,2,1
26,47,54,3,1,0
3,32,58,2,4,1
20,46,23,5,2,0
5,52,97,5,2,1
58,53,207,3,1,1
54,28,21,3,4,0
52,39,119,3,1,0
38,30,25,1,4,0
19,46,59,3,1,0
22,33,24,1,4,0
49,35,113,4,5,0
5,39,22,1,2,0
18,69,11,1,1,0
43,29,33,1,4,0
17,50,205,5,1,1
37,33,41,3,3,1
8,39,39,1,1,0
51,46,107,2,6,0
71,55,198,1,3,0
56,53,100,5,2,0
70,68,1131,2,1,0
62,53,360,3,2,0
50,52,162,2,2,0
1,31,29,5,3,1
15,26,38,4,2,1
72,55,82,3,2,0
69,47,159,2,4,1
32,44,201,2,1,0
19,25,27,4,2,1
42,54,57,3,1,0
51,49,45,1,1,0
32,22,17,2,4,1
26,55,61,1,2,0
39,44,418,4,2,0
72,53,152,2,1,0
4,39,38,4,2,1
54,50,151,4,3,0
34,40,23,4,3,0
20,25,33,4,3,0
14,49,26,1,1,0
61,59,89,1,1,0
4,24,25,4,1,1
16,48,59,2,2,1
13,41,55,2,3,0
53,37,25,3,2,1
58,36,39,2,7,1
25,38,56,1,2,0
71,61,155,3,2,0
22,33,119,5,4,1
46,48,64,3,2,0
66,50,333,5,2,0
69,58,26,2,3,0
38,49,33,4,4,0
16,35,46,3,1,0
44,39,41,2,4,0
50,50,31,1,1,0
10,23,29,4,1,0
7,41,94,2,1,0
71,48,288,3,1,0
16,39,31,1,5,0
6,20,25,2,2,0
46,55,269,2,1,0
51,49,203,3,4,0
5,34,22,2,2,1
49,54,25,2,4,0
49,51,222,5,2,0
26,30,76,3,2,0
22,39,55,2,1,1
51,45,46,3,2,0
19,27,56,4,4,1
9,36,79,3,5,1
15,25,51,3,2,0
57,63,61,1,1,0
48,45,41,1,2,0
9,53,50,2,2,1
61,52,82,1,1,0
72,53,108,1,1,0
57,60,14,2,1,0
57,51,46,1,1,0
37,60,46,1,3,0
45,51,146,4,2,0
45,39,36,1,5,0
55,44,83,1,1,0
24,27,17,3,5,1
1,20,18,3,1,1
34,23,24,1,4,0
14,37,48,3,4,0
6,32,47,1,1,0
24,30,25,4,2,1
3,26,59,4,3,1
4,30,45,4,3,1
72,40,163,4,2,0
44,56,63,2,1,1
50,43,27,3,1,0
61,50,190,2,2,0
34,52,106,2,2,0
26,54,26,3,2,1
15,46,63,5,2,1
10,39,27,3,3,0
7,34,22,5,1,0
67,59,944,5,1,0
70,49,87,2,1,0
50,36,39,3,3,1
