communityname,murdPerPop,rapesPerPop,robbbPerPop,assaultPerPop,burglPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,nonViolPerPop
Banning,21.21,33.94,237.6,602.49,1722.6,3020.92,844.33,377.61,5965.46
Barberton,0,25.08,78.84,630.69,738.19,3547.62,318.93,68.09,4672.83
Barnegattown,0,15.87,0,87.31,230.18,1381.06,39.69,39.69,1690.61
Barnstable,4.67,51.39,67.74,1688.82,1422.53,1555.67,298.99,0,3277.2
Barrington,0,0,31.69,50.7,196.45,1666.67,31.69,12.67,1907.48
Barstow,15.04,110.26,215.51,706.66,2240.26,5598.16,947.23,50.12,8835.76
Bartlesville,2.95,38.41,50.23,407.73,1060.69,3371.15,112.27,53.18,4597.29
Bartow,6.57,85.4,335.02,1090.46,1688.23,6936.87,1156.15,13.14,9794.39
BatonRouge,32.31,77.28,814.75,2054.34,3293.5,7927.45,1749.14,68.99,13039.07
Bayonne,0,9.59,167.75,309.94,535.2,1848.45,397.81,7.99,2789.45
