vendor,myct,mmin,mmax,cach,chmin,chmax,prp
ibm,26,8000,16000,0,8,16,185
ibm,480,96,512,0,1,1,6
ibm,203,1000,2000,0,1,5,24
ibm,115,512,6000,16,1,6,45
ibm,1100,512,1500,0,1,1,7
ibm,1100,768,2000,0,1,1,13
ibm,600,768,2000,0,1,1,16
ibm,400,2000,4000,0,1,1,32
ibm,400,4000,8000,0,1,1,32
ibm,900,1000,1000,0,1,2,11
ibm,900,512,1000,0,1,2,11
ibm,900,1000,4000,4,1,2,18
ibm,900,1000,4000,8,1,2,22
ibm,900,2000,4000,0,3,6,37
ibm,225,2000,4000,8,3,6,40
ibm,225,2000,4000,8,3,6,34
ibm,180,2000,8000,8,1,6,50
ibm,185,2000,16000,16,1,6,76
ibm,180,2000,16000,16,1,6,66
ibm,225,1000,4000,2,3,6,24
ibm,25,2000,12000,8,1,4,49
ibm,25,2000,12000,16,3,5,66
ibm,17,4000,16000,8,6,12,100
ibm,17,4000,16000,32,6,12,133
ibm,1500,768,1000,0,0,0,12
ibm,1500,768,2000,0,0,0,18
ibm,800,768,2000,0,0,0,20
ipl,50,2000,4000,0,3,6,27
ipl,50,2000,8000,8,3,6,45
ipl,50,2000,8000,8,1,6,56
ipl,50,2000,16000,24,1,6,70
ipl,50,2000,16000,24,1,6,80
ipl,50,8000,16000,48,1,10,136
magnuson,100,1000,8000,0,2,6,16
magnuson,100,1000,8000,24,2,6,26
magnuson,100,1000,8000,24,3,6,32
magnuson,50,2000,16000,12,3,16,45
magnuson,50,2000,16000,24,6,16,54
magnuson,50,2000,16000,24,6,16,65
microdata,150,512,4000,0,8,128,30
nas,115,2000,8000,16,1,3,50
nas,115,2000,4000,2,1,5,40
nas,92,2000,8000,32,1,6,62
nas,92,2000,8000,32,1,6,60
nas,92,2000,8000,4,1,6,50
nas,75,4000,16000,16,1,6,66
nas,60,4000,16000,32,1,6,86
nas,60,2000,16000,64,5,8,74
nas,60,4000,16000,64,5,8,93
nas,50,4000,16000,64,5,10,111
nas,72,4000,16000,64,8,16,143
nas,72,2000,8000,16,6,8,105
nas,40,8000,16000,32,8,16,214
nas,40,8000,32000,64,8,24,277
nas,35,8000,32000,64,8,24,370
nas,38,16000,32000,128,16,32,510
nas,48,4000,24000,32,8,24,214
nas,38,8000,32000,64,8,24,326
nas,30,16000,32000,256,16,24,510
ncr,112,1000,1000,0,1,4,8
ncr,84,1000,2000,0,1,6,12
ncr,56,1000,4000,0,1,6,17
ncr,56,2000,6000,0,1,8,21
ncr,56,2000,8000,0,1,8,24
ncr,56,4000,8000,0,1,8,34
ncr,56,4000,12000,0,1,8,42
ncr,56,4000,16000,0,1,8,46
ncr,38,4000,8000,32,16,32,51
ncr,38,4000,8000,32,16,32,116
ncr,38,8000,16000,64,4,8,100
ncr,38,8000,24000,160,4,8,140
ncr,38,4000,16000,128,16,32,212
nixdorf,200,1000,2000,0,1,2,25
nixdorf,200,1000,4000,0,1,4,30
nixdorf,200,2000,8000,64,1,5,41
perkin-elmer,250,512,4000,0,1,7,25
perkin-elmer,250,512,4000,0,4,7,50
perkin-elmer,250,1000,16000,1,1,8,50
prime,160,512,4000,2,1,5,30
prime,160,512,2000,2,3,8,32
prime,160,1000,4000,8,1,14,38
prime,160,1000,8000,16,1,14,60
prime,160,2000,8000,32,1,13,109
siemens,240,512,1000,8,1,3,6
siemens,240,512,2000,8,1,5,11
siemens,105,2000,4000,8,3,8,22
siemens,105,2000,6000,16,6,16,33
siemens,105,2000,8000,16,4,14,58
siemens,52,4000,16000,32,4,12,130
siemens,70,4000,12000,8,6,8,75
siemens,59,4000,12000,32,6,12,113
siemens,59,8000,16000,64,12,24,188
siemens,26,8000,24000,32,8,16,173
siemens,26,8000,32000,64,12,16,248
siemens,26,8000,32000,128,24,32,405
sperry,116,2000,8000,32,5,28,70
sperry,50,2000,32000,24,6,26,114
sperry,50,2000,32000,48,26,52,208
sperry,50,2000,32000,112,52,104,307
sperry,50,4000,32000,112,52,104,397
sperry,30,8000,64000,96,12,176,915
sperry,30,8000,64000,128,12,176,1150
sperry,180,262,4000,0,1,3,12
sperry,180,512,4000,0,1,3,14
sperry,180,262,4000,0,1,3,18
sperry,180,512,4000,0,1,3,21
sperry,124,1000,8000,0,1,8,42
sperry,98,1000,8000,32,2,8,46
sratus,125,2000,8000,0,2,14,52
wang,480,512,8000,32,0,0,67
wang,480,1000,4000,0,0,0,45
