householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,numbUrban,medIncome,pctWPubAsst,PctPopUnderPov,PctLess9thGrade,PctUnemployed,NumImmig,HousVacant,NumInShelters,NumStreet,PopDens,burglPerPop
2.8,2.08,92.78,4.55,1.98,82585,59719,2.91,4.33,3.72,3.94,10758,1042,196,0,4413,558.12
2.34,3.52,95.13,1.03,1.7,29721,32704,4.52,6.72,4.72,4.21,1797,1487,0,0,1137.7,908.95
2.63,26.41,72.45,0.76,0.72,66049,23726,7.54,16.45,13.61,5.97,1108,2090,47,0,1290.5,833.83
2.92,17.14,81.71,0.92,0.48,21847,36770,3.8,9.48,4.37,3.37,389,427,0,0,885.5,740.51
2.49,34.26,65.09,0.31,0.53,26184,19433,8.88,19.89,18.33,7.46,182,994,12,6,2042.4,1906.36
2.7,24.63,73,1.13,3.12,24656,36995,4.16,4.89,5.02,4.94,833,323,0,0,4826.9,488.94
2.49,0.11,99.03,0.34,0.34,12727,23056,8.75,11.12,15.8,6.85,81,236,0,0,1249.9,370.81
2.88,0.92,96.35,2.34,1.02,33626,49143,1.98,3.51,3.8,3.13,1154,455,0,0,1260.7,527.63
2.67,0.28,98.83,0.59,0.59,0,31235,4.67,8.06,6.21,6.42,594,450,1,0,580.3,688.61
2.82,2.55,97.01,0.28,0.36,9827,32713,5.23,8.79,8.16,5.41,130,132,4,0,369.6,818.86
2.16,9.69,89.52,0.51,0.75,10637,23773,8.65,12.53,9.07,6.62,244,358,0,0,8564.4,615.41
2.36,15.78,82.73,1.04,0.67,165121,19923,9.69,20.8,12.59,7.11,3274,6480,354,130,2063.3,1638.17
2.28,5.59,92.94,0.58,1.49,0,25649,2.24,8.46,11.55,5.99,172,314,0,0,1451,1118.32
2.5,1.61,94.71,3.09,0.93,86335,41736,2.63,3.7,2.51,3.28,3491,1327,0,0,2345.2,831.52
2.79,11.1,83.79,4.57,2.83,21160,58194,2.35,1.49,4.57,3.75,2311,198,0,0,2250.1,469.79
2.6,1.41,96.54,1.4,2.1,29208,45481,2.87,1.79,8.71,3.44,3194,386,0,0,2139.7,492.44
2.46,7.24,91.65,0.54,0.86,0,20569,6.53,18.27,14.83,8.52,96,618,0,0,1227.9,740.74
3.86,0.19,97.05,1.69,2.54,75058,43971,2.59,4.21,1.05,3.56,2193,687,0,0,3625.3,774.07
2.9,2.53,92.97,3.78,2.04,51464,52208,1.94,5.12,3.52,2.42,3320,860,0,0,4486.1,406.32
2.91,0.69,98.03,0.43,1.3,18750,42549,5.63,4.36,3.75,6.2,464,491,0,0,648.8,675.91
2.49,9.78,84.1,0.45,2.48,0,18357,10.04,23.15,13.83,9.5,191,1038,17,0,1057.3,1895.21
2.49,4.28,75.25,2.2,29.25,405312,21748,6.58,20.16,9.36,8.12,43397,20653,437,102,2503.8,1636.29
2.94,7.36,88.58,2.67,3.69,14937,41944,3.11,4.35,5.04,4.1,970,932,0,0,249.1,1113.81
2.62,5.57,73.69,0.15,28.98,0,19157,8.36,23.02,19.73,8.51,298,721,0,0,1329.7,1753.52
2.51,4.6,92.63,1.72,2,25925,30591,4.68,6.68,3.63,5.12,1047,1040,65,0,1602.6,818.14
2.76,0.89,98.1,0.64,1.08,10466,37683,7.14,8.02,3.69,7.31,564,1468,56,0,3397.6,943.57
2.29,0.59,97.87,1.37,0.55,17118,34644,2.46,4.13,6.29,3.05,526,323,0,0,4180.8,356.12
2.52,16.58,78.17,4.04,2.1,12456,34639,3.63,9.33,3.49,3.78,1450,774,0,0,606.6,1410.16
2.86,12.06,82.54,2.14,6.65,35748,41028,2.52,3.78,3.75,4.57,1211,849,0,0,3057.5,1115.06
2.46,9.4,89.79,0.46,0.42,0,23744,8.81,14.35,15.1,4.48,98,431,0,0,1098.7,661.96
2.7,0.54,94.18,4.9,2.7,11439,62420,2.04,2.45,4.91,2.71,1431,84,0,0,3001.1,99.12
2.47,2.7,94.53,0.7,1.71,34156,33411,5.68,6.78,2.92,7.22,2264,6769,273,6,658.2,1422.53
2.66,3.01,89.39,6.45,5.78,17790,46499,2.85,3.68,7.01,4.17,2857,536,5,0,6118.4,280.71
2.34,7.67,84.64,5.3,3.17,437398,25592,6.9,14.53,5.62,6.16,33601,11100,1553,149,3386.2,1710.56
2.95,10.33,83.46,3.1,5.73,27957,46674,3.24,3.79,6.16,3.3,2129,751,7,0,2695.4,437.98
2.53,1.45,72.98,21.86,10.07,133107,47204,4.3,5.15,3.85,3.95,29516,2312,0,18,6260.9,1138.83
4.32,0.06,98.01,0.86,2.06,12220,43804,3.16,3.21,1.7,3.21,146,56,0,0,585.8,728.66
2.59,3.64,82.76,6.32,24.12,66072,42962,5.3,8.3,8.12,3.82,15722,1354,91,125,3349.1,753.02
2.47,3.03,93.76,1.36,3.4,12895,35855,4.14,6.27,10.36,3.31,696,199,0,0,2104.5,589.02
3.01,0.17,98.04,1.29,1.73,11705,53665,0.18,1.65,1.77,2.29,528,100,0,0,2148.7,349.81
2.46,1.06,97.38,1.04,1.79,0,26654,3.65,6.77,7.04,5.66,559,467,0,0,785.2,1283.36
2.67,0.8,95.49,1.07,1.19,49425,25456,4.64,14.48,7.24,5.08,1112,1058,70,0,3304.7,464.26
2.66,36.14,53.85,2.41,13.22,130474,25811,14.61,21.29,11.86,9.25,10633,5071,1344,16,6679.9,2856.93
2.66,15.59,81.67,0.71,2.79,11218,18095,11.22,23.81,28.57,8.37,224,474,0,0,3399.4,1291.38
2.87,38.14,58.5,1.17,4.53,23930,36724,4.66,4.93,6.65,6.76,1039,257,0,0,5104.5,864.98
2.76,0.44,95.21,3.61,2.65,19949,48483,1.14,1.27,5.04,2.81,1262,167,0,0,2553.6,286.66
2.67,41.48,57.56,0.56,0.69,0,19063,12.4,25.22,18.7,9.13,61,295,0,0,1633.9,773.07
2.57,0.16,98.92,0.37,0.79,34989,29576,5.96,6.07,7.31,5.64,1183,366,0,0,3344,538.42
2.75,3.83,79.59,4.42,18.96,60394,37073,7.29,8.98,5.71,4.78,6289,1204,92,26,2398.1,1503.47
3.29,4.62,58.93,1.26,51.15,0,24292,16.57,28.22,27.72,11.09,1699,662,0,34,705.2,2811.83
2.7,0.98,88.96,2.17,14.87,0,34182,3.85,8.43,5.45,3.93,767,383,9,0,2035.3,626.94
2.62,0.79,96.25,2.18,0.83,55006,25168,6.39,12.63,8.38,4.82,1563,870,13,0,2959.7,845.07
2.11,6.36,82.79,7.41,3.67,11874,30141,6.21,9.33,4.32,4.77,834,333,2,1,1404.9,2353.77
3.42,11.49,77.75,6.04,10.46,23229,53710,4.19,4.23,1.9,3.52,1928,190,0,0,2618.2,456.78
2.69,1.08,86.96,6.22,15.45,32873,51253,3.54,3.55,4.6,3.31,4092,424,5,0,3178,886.76
2.45,15.59,83.14,0.99,0.67,15366,32877,3.89,9.28,5.83,3.62,232,536,0,0,904.5,962.57
2.47,29.09,68.24,1.75,3,124773,23453,4.59,22.32,5.59,5.56,5615,4779,148,30,1903.4,2924.3
3.68,8.51,82.51,7.07,5.13,0,43092,2.6,9.64,7.05,3.21,2061,249,0,0,6306.9,813.69
3.13,1.2,94.56,3.5,0.82,0,21392,6.35,28.82,12.93,7.56,446,216,6,0,1161.2,717.66
2.56,0.75,97.92,0.62,1.33,0,23642,7.37,11.86,10.41,5.25,205,193,0,0,1925.9,543.89
2.47,2.55,95.22,1.36,1.85,12814,44335,1.94,3.73,2.21,2.63,634,622,0,0,659.9,445.03
2.82,0.76,98.02,0.81,2.23,7850,48889,2.86,2.43,5.05,2.94,805,785,0,0,422.4,438.67
2.79,0.51,95.73,2.79,0.85,0,22194,7.35,21.61,11.51,5.96,792,382,21,0,1660.1,732.28
2.8,1.26,77.47,3.07,26.16,0,31671,10.34,9.59,10.84,7.85,4230,620,57,5,4187.9,1122.92
2.71,11.07,80.05,6.81,5.81,31287,49900,3.06,2.67,6.11,3.08,4686,631,8,0,2508.1,791.48
2.59,17.38,81.61,0.51,0.65,70487,21407,14.47,20.87,9.79,8.74,765,2315,2,8,3485.1,1362.13
2.3,2.61,93.49,2.81,1.07,35710,32405,4.4,5.55,4.34,3.61,1406,543,0,0,5009.5,1070.38
2.67,25.51,67.85,0.92,9.09,0,21238,8.44,21.04,16.58,8.15,970,1054,5,0,1062.7,1641.17
2.58,0.54,97.63,0.41,1.15,0,25141,6.23,11.79,10.91,6.72,133,244,14,0,2204.9,590.66
2.58,3.49,95.03,1.17,0.63,0,27148,7.74,12.69,6.41,5.93,496,416,0,0,1813.5,649.18
2.86,13.99,52.83,9.81,39.92,3485398,30925,10.68,18.86,18.4,8.34,1336665,82558,4597,3109,7168.1,1449.19
2.76,0.57,88.39,5.85,29.4,13425,33969,3.81,11.55,22.09,7.53,5599,262,0,0,10587.5,1268.88
2.93,0.34,98.9,0.43,0.59,10135,40117,7.85,4.92,12.11,4.6,830,219,0,0,644.9,123.12
2.47,0.53,96.09,0.84,0.52,27134,20905,12.76,17.1,8.04,9.73,453,683,13,0,709,1249.64
2.72,4.62,93.26,0.84,1.81,0,29088,13.49,15.39,12.86,7.38,554,410,14,0,2458.4,849.37
2.9,2.27,96.66,0.62,0.64,13176,35575,2.79,4.1,4.85,4.98,336,198,0,0,401.2,415.7
3.66,23.47,52.73,13.48,17.45,38893,28655,7.86,12.22,9.54,4.37,6949,597,21,2,4254.3,673.94
2.66,1.79,94.7,1.13,5.67,29171,48901,2.04,4.24,3.09,3.09,773,938,0,0,901.6,561.96
2.67,9.93,85.14,4.12,1.31,69101,22059,4.87,22.42,5.02,4.91,4162,1710,57,3,1504.7,764.22
2.53,0.16,97.25,0.79,2.11,0,20711,10.26,18.76,9.34,10.38,274,222,0,2,2193.5,1109.17
2.95,17.71,77.25,1.09,7.57,18041,31262,6.29,17.07,6.38,5.7,525,347,6,0,9469.3,624.4
2.54,12.49,78.85,6.59,4.64,13800,36864,2.13,5.14,5.91,4.16,1448,651,51,1,2251.7,565.58
2.34,1.7,97.7,0.3,0.29,33809,20461,9.42,18.99,13.76,8.01,272,1878,4,1,2926.2,1044.87
2.36,1.93,93.28,2.08,2.08,177196,22192,10.99,17.34,5.74,8.12,6997,4728,259,56,3058.9,1377.35
2.7,0.31,89.69,1.09,11.62,0,22996,4.26,18.78,5.4,6.45,211,321,64,1,2561.8,851.18
2.38,0.29,93.76,1.95,2.55,0,21762,11.64,18.3,9.02,10.96,669,618,21,0,1510.9,1155.93
3.29,38.25,59.81,1.16,1.58,41945,21221,12.39,20.71,10.29,5.4,774,913,31,3,1780,1889.08
3.05,0.1,99.52,0.13,0.44,302,37156,3.99,5.55,13.59,6.21,335,438,0,0,281.9,376.37
2.63,9.04,81.98,7.69,2.58,109592,33344,3.2,16.08,2.22,3.81,11945,2353,195,4,4085,1006.18
2.75,0.93,97.6,0.82,1.37,0,43419,3.1,3.79,3.83,5.47,1052,1102,0,0,798.4,852.44
2.25,31.3,67.17,0.5,6.09,13024,23269,6.41,20.64,13.67,8.89,1783,1905,15,1,2442.6,3794.52
2.44,0.47,99,0.32,0.48,0,23684,7.59,13.85,7.17,5.19,158,291,0,0,2570,31.01
2.71,0.15,97.68,1.74,1.18,15128,44735,2.13,2.32,3.31,2.38,450,170,0,0,2608.5,156.02
2.81,5.11,74.68,2.09,75.62,58012,25655,13.18,18.18,28.42,10.87,31959,1980,189,25,44229.9,1590.11
2.51,3.23,73.48,21.98,5.77,28176,60462,2.07,2.95,1.67,3.4,6342,537,0,0,7232,374.75
2.61,47.94,49.58,0.49,2.85,140761,20176,23.81,30.58,8.86,18.29,2286,4830,83,11,4015.8,2896.34
3.28,29.58,57.37,3.96,19.33,41711,28289,10.16,21.96,15.92,8.85,6989,845,105,17,7709.4,1921.41
2.86,24.96,71,0.77,1.41,30495,19397,12.93,26.41,19.02,8.38,240,818,58,0,2172,939.47
3.37,42.94,31.69,9.6,36.36,23451,29206,16.44,17.55,21.02,10.6,7038,398,57,64,8883,1412.9
3.11,1.59,96.96,1.3,0.5,16392,70287,1.63,1.39,0.72,3.1,487,238,0,0,544.6,393.92
2.85,5.13,88.12,2.32,11.74,29967,45043,1.82,4.92,3.66,3.09,1763,795,0,2,566.3,881
2.86,33.32,64.22,1.97,2.28,0,18506,14.23,28.67,23.72,13.03,764,1283,2,0,3024.3,1558.99
2.93,0.36,99.14,0.41,0.52,15080,44083,4.84,3.15,6.68,3.4,359,111,0,0,2534.6,339.05
2.75,0.23,99.11,0.4,0.97,12649,28998,8.84,9.18,12.78,5.92,235,333,26,0,5549.8,836.82
2.63,0.22,98.95,0.7,0.45,30533,36972,2.63,2.95,5.82,3.8,818,221,0,0,2653.4,148.12
2.83,0.14,99.16,0.29,0.91,18828,34179,2.87,5.38,13.23,5.69,107,322,0,0,1615.9,488.72
2.99,0.44,99.17,0.17,0.22,5987,31617,4.92,8.41,12.41,5.71,27,130,0,0,355.3,498.31
2.88,65.17,32,0.39,3.77,41856,20864,19.65,25.16,13.42,12.4,852,1975,113,1,8345.8,2423.35
2.44,21.14,78.28,0.22,0.48,0,20745,9.65,17.18,14.76,7.56,31,304,0,0,1158.3,2420.38
2.44,25.05,70.9,1.35,15,280015,22772,9.46,19.44,11.47,6.54,22291,14881,423,140,2487.1,3100.23
2.5,29.5,55.3,2.18,20.88,1006831,27489,5.77,17.97,12.32,7.43,125862,63540,1200,293,2838.4,2012.79
2.9,4.72,93.97,0.46,1.1,0,20859,7.4,17.5,13.16,5.51,172,332,0,0,1076,595.56
2.46,0.79,93.76,2.78,2.41,52278,24714,6.3,16.68,5.02,4.73,3716,925,131,13,2287.7,11881.02
2.49,0.52,95.28,0.72,6.5,0,24814,5.39,12.8,5.73,6.64,881,4629,8,0,491.9,2008.6
2.4,10.38,69.22,12.04,19.76,38793,42971,4.22,6.68,6.29,4.13,9121,777,84,0,7336,1028.29
2.88,0.24,96.06,1.28,6.14,0,26974,5.79,10.71,7.77,4.35,591,131,18,0,3015.2,611.11
2.5,9.71,78.64,1.42,18.48,78380,22112,11.99,19.41,16.1,8.63,3362,2873,172,0,7732.5,1940.67
2.89,33.9,63.88,1.61,1.31,0,17826,7.7,30.26,8.95,10.69,644,736,0,0,1118.3,1437.18
2.67,43.76,36.18,11.83,14.52,87425,32165,15.69,16.1,9.43,9.43,13613,1783,186,130,2838.8,2435.91
2.73,1.02,94.74,1.31,5.18,37998,37701,6.21,7.2,11.58,7.65,2901,794,0,0,1722.8,626.41
2.67,4.06,95.02,0.52,0.96,51206,36809,3.13,3.29,7.89,3.5,698,620,0,0,4843.5,395.4
2.77,0.1,98.54,0.21,0.72,12287,29661,3.85,7.44,7.3,4.1,100,144,0,0,1674.9,520.42
3.2,1.07,71.46,0.47,83.47,0,14994,19.94,43.13,36.43,19.22,4425,316,0,0,2616.7,1103.69
2.72,58.44,41,0.43,0.29,0,15917,19.72,35.71,16.59,10.89,153,825,28,0,1647.8,2374.72
2.8,1.04,98.41,0.38,0.45,11475,34198,4.19,5.4,6.47,5.33,183,113,0,0,552.6,574.57
3.45,0.16,75.37,0.15,80.08,28653,17489,16.45,37.33,34.49,12.14,6280,2343,0,0,1990.9,1164.45
2.76,13.09,84.93,1.09,1.5,0,30524,5.91,7.99,11.19,7.94,439,1624,27,0,200,1071.43
2.56,5.97,90.82,2.63,1.65,28209,50843,1.47,1.99,2.69,2.55,1439,769,0,0,1339.6,645.49
2.67,0.67,89.1,1,20.36,60359,23462,7.57,19.46,11.86,5.67,2852,1344,107,0,2057.1,1026.05
2.57,1.33,84.31,6.56,20.05,96357,40313,4.31,9.17,7.4,4.17,20787,2144,225,26,5980.4,1263.62
2.84,3,84.87,7.18,12.5,11676,45171,2.3,4.38,5.09,4.24,1422,166,23,0,2798.7,1184.46
3.17,18.69,76.63,3.42,3.27,16390,64338,2.1,3.03,3.25,3.64,1956,310,0,0,5529.7,1344.7
2.57,0.56,91.22,1.06,8.95,0,19474,20.02,20.41,8.65,9.88,642,250,31,6,1641.4,793.95
2.51,0.44,98.73,0.41,0.4,0,34466,3.1,4.59,3.42,2.43,83,143,0,0,2705.7,437.48
2.55,21.63,76.04,1.08,2.43,19027,26614,5.7,12.29,11.51,3.32,550,613,13,60,1746.9,455.7
3.11,0.67,96.74,1.71,2.26,12724,77530,1.53,1.25,2.33,3.12,435,215,0,0,937,164.04
3.04,17.58,58.6,12.18,23.73,47564,38532,12.03,10.79,10.56,7,8899,1066,130,33,4222.7,1719.03
2.89,0.93,90.3,6.25,7.71,72820,61058,1.79,1.96,1.38,2.9,9128,1219,0,0,4027.7,815.59
2.7,13.68,58.38,13.57,23.62,429433,31938,11.35,16.82,11.53,6.54,104150,11413,394,66,8287.7,1554.92
2.47,0.87,95.89,0.9,0.6,85493,23370,9.7,16.57,6.48,7.22,2063,1459,303,2,1220.6,1013.2
2.41,42.5,57.03,0.23,0.47,0,19829,12.54,19.27,16.77,8.57,167,393,17,0,1612.7,2825.67
3.18,2.76,75.88,7.1,30.36,76095,43555,6.57,8.31,10.42,5.76,14211,2618,56,9,2579.1,1662.29
2.58,0.86,97.63,1.02,1.15,38195,39603,6.8,6.62,3.83,5.42,1896,856,43,0,2388,1380.69
2.94,3.48,93.08,2.12,7.12,79443,43428,2.15,5.16,3.42,3.85,9031,2771,0,1,3265,732.78
2.9,1.26,97.99,0.51,0.89,10295,50798,3.17,2.05,3.9,2.81,392,129,0,0,503.3,531.96
2.74,8.16,89.99,0.26,2.08,20392,30160,11.82,13.77,8.36,11.36,359,438,0,0,791.2,1123.01
2.66,4.08,71.62,17.93,18.61,38961,42019,4.56,4.77,5.65,4.12,9386,538,5,0,5846.5,466.18
2.81,43.48,55.19,0.87,1.13,0,21864,12.64,23.83,11.35,7.67,720,1465,1,0,1451.1,1649.42
2.49,15.98,74.78,2.36,4.95,439140,25741,6.57,15.86,7.06,7.06,18732,33705,1016,234,705.8,2144.85
2.88,4.68,71.3,3.03,46.63,0,21946,5.47,20.44,19.38,9.97,779,536,0,0,1642.4,1317.13
3.11,0.89,78.96,0.32,72.59,0,18962,15.26,28.5,24.03,9.97,650,827,0,0,1631.1,1874.61
2.4,0.18,93.51,0.23,10.62,0,20189,7.1,16.91,9.71,4.52,312,474,0,0,1853,634.59
3.62,6.85,86.16,3.44,8.26,26540,47790,4.04,4.07,2.13,1.71,2368,1818,0,0,3324.1,975.39
2.59,7.13,83.93,5.28,4.85,38065,22610,11.14,18.1,6.46,7.4,1772,975,30,4,1851.6,850.87
2.58,1.27,88.19,0.99,2.23,54523,25740,6.79,13.65,6.52,5.21,1155,1378,148,4,1489.4,825.78
3.2,4.17,59.91,31.11,12.16,15392,54364,3.2,5.89,3.34,2.5,4251,120,0,1,8169.9,870.21
2.78,0.77,91,7.42,2.42,37093,59020,1.89,1.71,2.94,2.42,4184,415,0,0,2996.2,379.21
3.41,0.24,55.84,3.11,60.37,0,22032,23.93,22.58,34.36,14.95,2966,103,0,0,4583.8,1431.61
2.57,5.38,91.2,1.96,8.65,16444,37156,1.72,6.67,2.42,2.92,1228,444,0,0,3209.2,740.79
2.4,0.19,97.51,0.75,2.37,0,25787,5.1,13.15,3.87,4.24,545,478,100,6,1470.9,1448.09
2.71,1.72,94.97,3.05,1.92,15616,70000,1.51,1.52,3.34,2.86,1259,313,0,0,691.9,248.8
2.68,0.86,94.07,1.27,4.53,46058,24955,5.4,15.34,4.83,6.09,867,1585,19,0,1610.3,685.01
2.28,4.35,91.05,1.06,5.69,0,16600,22.96,22.15,10.62,12.8,373,2136,6,25,1101.9,3519.08
2.58,28.59,69.89,0.92,1.55,40775,21174,9.1,20.32,8.91,7.69,846,2439,68,1,1740.1,712.65
2.65,7.73,86.42,0.16,9.5,0,25385,9.69,14.66,8.68,10.08,229,351,8,0,2753.9,812.65
2.57,1.72,95.56,1.92,1.67,0,39087,5.61,9.26,4.43,4.97,1680,629,17,0,1341.7,276.47
2.59,48.1,51.62,0.16,0.4,0,16997,15.06,30.18,14.55,9.03,86,1114,5,0,1180.5,2290.39
2.67,55.3,39.76,1.84,7.8,67153,34850,9.57,11.8,11.54,7.41,14637,1057,112,0,14786.2,1461.77
2.41,3.25,95.34,0.51,1.44,30601,32002,3.48,4.78,4.62,3.91,331,519,0,0,2981.4,798.01
3.11,49.86,48.46,0.67,1.24,0,14509,17.48,39.79,17.18,14.52,147,756,0,0,1585.4,1831.98
2.62,3.2,95.56,0.72,0.47,0,27095,5.12,8.65,10.83,1.93,84,129,0,0,1087.9,1008.81
2.52,22.12,75.92,0.56,1.16,0,18743,12.11,25.43,15.06,8.5,334,1385,7,0,876.6,2206.94
2.5,0.42,97.93,1,3.1,17084,43109,1.6,3.42,10.55,3.95,1837,224,0,0,4854.5,462.3
2.84,20.83,75.97,1.13,4.98,30615,45550,2.48,3.98,3.23,4.11,877,896,0,0,1365.5,1155.76
2.74,0.67,98.15,0.56,1,0,35301,3.28,3.13,5.76,2.75,168,113,0,0,2105.1,393.21
