previous,age,income,education,reside,gender,children,region
No,30,Less than 25,Postgraduate,5,Female,0,West
No,49,75+,Less than highschool,9,Female,0,West
No,44,50-74,Highschool,8,Female,1,West
No,50,50-74,Highschool,8,Female,0,West
No,35,50-74,Some college,9,Female,0,West
No,48,Less than 25,Less than highschool,9,Female,0,West
No,18,Less than 25,Less than highschool,9,Female,0,West
No,34,25-49,Highschool,8,Female,0,West
No,39,75+,Highschool,9,Female,2,West
Yes,47,75+,College,10,Female,2,West
No,50,Less than 25,Highschool,12,Female,0,West
No,56,75+,Highschool,9,Female,1,West
No,44,25-49,Postgraduate,13,Female,1,West
Yes,46,50-74,Some college,10,Female,2,West
No,36,25-49,Postgraduate,9,Female,1,West
No,49,50-74,Some college,13,Female,3,West
No,65,75+,Some college,14,Female,2,West
No,42,25-49,College,8,Female,0,West
No,50,50-74,Postgraduate,10,Female,2,West
No,16,75+,Postgraduate,8,Female,0,West
No,50,50-74,Some college,2,Female,0,West
No,48,25-49,Some college,7,Female,1,West
No,20,25-49,Some college,9,Female,0,West
No,46,25-49,Highschool,5,Female,0,West
No,44,75+,Highschool,5,Female,0,West
No,33,Less than 25,Postgraduate,11,Female,0,West
No,47,50-74,Less than highschool,7,Female,1,West
No,37,75+,Postgraduate,10,Female,2,West
No,40,50-74,Some college,12,Female,0,West
No,29,Less than 25,Some college,10,Female,0,West
No,37,Less than 25,Postgraduate,11,Female,0,West
No,54,25-49,College,14,Female,1,West
No,23,75+,Less than highschool,14,Female,3,West
No,50,75+,Postgraduate,15,Female,1,West
No,44,75+,Some college,12,Female,0,West
No,33,Less than 25,Postgraduate,9,Female,0,West
No,51,50-74,Less than highschool,12,Female,2,West
No,25,Less than 25,Postgraduate,8,Female,0,West
No,51,75+,Some college,4,Female,2,West
No,36,50-74,College,8,Female,0,West
No,49,25-49,Less than highschool,10,Female,1,West
No,44,75+,Postgraduate,14,Female,3,West
No,35,50-74,Some college,9,Female,1,West
No,36,Less than 25,Some college,6,Female,0,West
No,18,Less than 25,Highschool,8,Female,0,West
No,29,75+,College,5,Female,1,West
No,53,50-74,Highschool,6,Female,3,West
No,51,25-49,Postgraduate,11,Male,1,West
No,44,25-49,Less than highschool,9,Female,1,West
No,15,Less than 25,Some college,11,Female,0,West
No,51,25-49,Postgraduate,5,Female,1,West
No,35,25-49,Highschool,10,Female,0,West
No,31,25-49,College,7,Female,1,West
No,39,25-49,Highschool,10,Female,1,West
No,46,75+,Some college,14,Female,2,West
No,27,Less than 25,College,13,Female,0,West
No,55,75+,Postgraduate,6,Female,2,West
No,41,25-49,Postgraduate,14,Female,1,West
No,47,25-49,Some college,8,Female,1,West
No,18,Less than 25,College,8,Female,0,South
No,32,25-49,Postgraduate,5,Female,1,South
No,53,50-74,Highschool,13,Female,2,South
No,32,75+,Highschool,12,Female,3,South
No,53,75+,Highschool,12,Female,1,South
No,40,75+,Less than highschool,11,Female,0,South
No,27,Less than 25,Postgraduate,12,Female,0,South
No,22,75+,Less than highschool,5,Female,1,South
No,30,50-74,Less than highschool,8,Female,2,South
No,44,75+,Less than highschool,14,Female,1,South
No,44,75+,Postgraduate,10,Female,0,South
No,34,Less than 25,Some college,13,Female,0,South
No,61,50-74,Postgraduate,11,Female,1,South
No,54,50-74,Postgraduate,9,Female,2,South
No,24,Less than 25,Less than highschool,7,Female,0,South
No,58,50-74,College,3,Female,0,South
No,46,50-74,Postgraduate,5,Female,1,South
No,44,50-74,Highschool,10,Female,2,South
No,28,Less than 25,Some college,10,Female,0,South
No,47,50-74,College,14,Female,1,South
No,37,25-49,Some college,9,Female,1,South
No,60,25-49,Less than highschool,10,Female,0,South
No,22,25-49,Less than highschool,14,Female,0,South
No,23,25-49,College,18,Female,0,South
No,49,25-49,Postgraduate,8,Female,1,South
No,66,75+,Some college,10,Female,2,South
No,40,Less than 25,College,11,Female,0,South
No,23,Less than 25,College,7,Female,0,South
No,58,25-49,College,15,Female,1,South
No,48,25-49,College,13,Female,1,South
No,36,75+,College,6,Female,2,South
No,28,75+,Highschool,14,Female,0,South
No,58,Less than 25,Highschool,10,Female,0,South
No,48,75+,College,5,Female,1,South
No,44,75+,Postgraduate,10,Female,2,South
No,33,Less than 25,Some college,13,Female,0,South
No,18,Less than 25,Less than highschool,7,Female,0,South
No,35,Less than 25,Some college,11,Female,0,South
No,39,50-74,Some college,10,Female,2,South
No,46,75+,College,7,Female,2,South
No,15,Less than 25,Highschool,8,Female,0,South
No,26,50-74,College,8,Female,0,South
No,50,75+,College,6,Female,1,South
No,53,75+,Some college,11,Female,2,South
No,24,Less than 25,College,11,Female,0,South
No,35,Less than 25,Less than highschool,6,Female,0,South
No,32,75+,College,11,Female,2,South
No,29,75+,College,3,Female,3,South
No,41,25-49,Less than highschool,5,Female,1,South
No,17,75+,Highschool,9,Female,0,South
No,40,50-74,College,9,Female,2,South
No,36,50-74,Postgraduate,9,Female,2,South
No,29,25-49,Postgraduate,9,Female,0,South
No,39,25-49,Highschool,12,Female,1,South
No,33,75+,Less than highschool,11,Female,2,South
No,40,25-49,Less than highschool,9,Female,0,South
No,30,Less than 25,Postgraduate,6,Female,0,South
No,23,25-49,Less than highschool,13,Female,0,South
No,32,75+,Less than highschool,8,Female,3,South
No,33,75+,Some college,7,Female,1,South
No,51,Less than 25,Less than highschool,6,Female,0,South
No,42,25-49,College,11,Female,1,South
No,28,Less than 25,Less than highschool,3,Female,0,South
No,24,Less than 25,College,15,Female,0,South
No,41,25-49,Some college,9,Female,0,South
No,26,50-74,Highschool,13,Female,1,South
No,40,Less than 25,Highschool,11,Female,0,South
No,35,75+,Highschool,10,Female,0,South
No,59,75+,Less than highschool,10,Female,2,South
No,41,75+,Less than highschool,8,Female,0,South
No,27,25-49,Less than highschool,15,Female,1,South
No,63,50-74,College,11,Female,2,South
No,26,Less than 25,Some college,12,Female,0,South
No,33,Less than 25,Less than highschool,6,Female,0,South
No,56,75+,College,8,Female,2,South
No,64,50-74,Highschool,10,Female,2,South
No,28,Less than 25,College,12,Female,0,South
No,39,75+,Less than highschool,10,Female,1,South
No,46,75+,Postgraduate,10,Female,1,South
No,28,25-49,Highschool,8,Female,0,South
No,38,50-74,Postgraduate,13,Female,0,South
No,19,75+,College,14,Female,0,South
No,50,25-49,Postgraduate,8,Female,1,South
No,35,50-74,Highschool,7,Female,0,South
No,16,Less than 25,College,11,Female,0,South
No,36,25-49,Postgraduate,8,Female,0,South
Yes,50,50-74,Some college,11,Female,1,South
No,34,25-49,Less than highschool,17,Female,0,South
No,40,25-49,Highschool,7,Female,0,South
No,34,25-49,College,14,Female,0,South
No,51,75+,Postgraduate,12,Female,1,South
No,65,75+,Postgraduate,9,Female,2,South
No,43,Less than 25,College,13,Female,0,South
No,43,50-74,Postgraduate,9,Female,2,South
No,46,50-74,Postgraduate,12,Female,3,South
No,47,Less than 25,Less than highschool,11,Female,0,South
No,40,25-49,Less than highschool,11,Female,0,South
No,45,50-74,College,11,Female,1,South
No,29,25-49,Some college,15,Female,0,South
No,20,Less than 25,Highschool,9,Female,0,South
No,39,25-49,College,4,Female,0,South
No,28,25-49,Some college,11,Female,0,South
No,43,25-49,Highschool,11,Female,1,South
No,21,75+,Less than highschool,9,Female,0,South
No,42,25-49,Highschool,10,Female,1,South
No,42,Less than 25,Postgraduate,8,Female,0,South
No,42,25-49,Less than highschool,9,Female,0,South
No,41,25-49,Some college,9,Female,0,South
No,35,75+,Some college,7,Female,2,South
No,23,25-49,Highschool,10,Female,0,South
Yes,56,50-74,Postgraduate,9,Female,2,South
No,29,75+,College,12,Female,0,South
No,37,75+,Highschool,12,Female,2,South
No,32,75+,Highschool,10,Female,1,South
No,55,25-49,Highschool,10,Female,1,South
No,51,50-74,Postgraduate,7,Female,1,South
No,50,75+,Some college,13,Female,2,South
Yes,34,Less than 25,Some college,9,Female,0,South
No,35,50-74,Postgraduate,5,Female,3,South
No,25,Less than 25,Some college,2,Female,0,South
No,28,50-74,Some college,12,Female,0,South
No,58,75+,Postgraduate,8,Female,3,South
No,52,75+,Highschool,9,Female,3,South
No,58,50-74,College,13,Female,4,South
No,53,75+,Highschool,10,Female,2,South
No,27,75+,College,9,Female,1,South
No,25,Less than 25,Some college,8,Female,0,South
No,38,25-49,Postgraduate,12,Female,0,South
No,41,75+,Postgraduate,4,Female,2,South
No,32,Less than 25,Some college,13,Female,0,South
No,48,50-74,Highschool,14,Female,4,South
Yes,35,Less than 25,Highschool,12,Female,0,South
No,34,75+,Less than highschool,14,Female,0,South
No,22,Less than 25,Postgraduate,11,Female,0,South
No,47,50-74,College,7,Female,2,South
No,35,25-49,Highschool,11,Female,0,South
No,17,Less than 25,Some college,10,Female,0,South
No,35,50-74,Postgraduate,6,Female,0,South
No,29,50-74,Highschool,7,Female,1,South
No,34,25-49,Less than highschool,10,Female,0,South
No,42,25-49,College,15,Female,1,South
No,43,75+,Highschool,7,Female,1,South
No,44,50-74,Highschool,12,Female,2,South
No,54,50-74,Less than highschool,5,Female,1,South
No,28,75+,College,15,Female,0,South
Yes,48,75+,Some college,13,Female,1,South
No,30,Less than 25,Postgraduate,11,Female,0,South
No,32,25-49,Less than highschool,13,Female,1,South
No,27,25-49,Highschool,13,Female,0,South
No,41,50-74,College,7,Female,3,South
No,31,75+,Highschool,11,Female,2,South
No,63,75+,Highschool,8,Female,4,South
No,23,Less than 25,Highschool,4,Female,0,South
No,49,25-49,College,10,Female,1,South
No,54,25-49,Postgraduate,12,Female,1,South
No,59,50-74,Highschool,14,Female,1,South
No,42,75+,Postgraduate,11,Female,0,South
No,53,50-74,Some college,5,Female,1,South
No,42,Less than 25,Less than highschool,8,Female,0,South
No,46,Less than 25,Postgraduate,10,Female,0,South
No,42,75+,Less than highschool,8,Female,2,South
No,60,75+,Highschool,12,Female,3,South
No,53,75+,Less than highschool,9,Female,2,South
No,58,50-74,Highschool,13,Female,1,South
No,49,50-74,Highschool,7,Female,2,South
No,42,75+,Some college,12,Female,1,South
No,24,75+,Highschool,10,Female,0,South
No,54,75+,Less than highschool,15,Female,2,South
No,30,Less than 25,Highschool,8,Female,0,South
No,36,25-49,College,15,Female,1,South
No,29,25-49,Highschool,11,Female,0,South
No,38,25-49,College,6,Male,0,South
Yes,46,75+,Some college,12,Female,0,South
No,57,50-74,Less than highschool,14,Female,2,South
No,33,75+,Postgraduate,10,Female,2,South
No,42,50-74,Highschool,8,Female,3,South
No,31,Less than 25,Some college,7,Female,0,South
Yes,53,50-74,Highschool,8,Female,1,South
No,44,75+,Some college,8,Female,3,South
No,39,25-49,College,8,Female,0,South
No,44,50-74,Postgraduate,11,Female,2,South
No,38,50-74,Less than highschool,13,Female,1,South
No,44,50-74,College,12,Female,2,South
No,44,25-49,Less than highschool,7,Female,1,South
No,51,50-74,College,14,Female,2,South
No,37,Less than 25,Highschool,11,Female,0,South
No,37,25-49,College,13,Female,1,South
No,57,25-49,Some college,15,Female,1,South
No,60,50-74,Highschool,7,Female,1,South
No,19,Less than 25,Less than highschool,11,Female,0,South
No,58,25-49,Postgraduate,13,Female,1,South
No,41,75+,Some college,5,Female,2,South
No,40,50-74,Some college,11,Male,0,South
No,38,50-74,Postgraduate,5,Male,0,South
Yes,33,Less than 25,Less than highschool,12,Male,0,South
No,32,75+,Highschool,5,Male,0,South
No,15,25-49,College,4,Male,0,South
No,28,50-74,Some college,9,Male,0,South
No,37,50-74,College,5,Male,0,South
No,27,50-74,Postgraduate,13,Male,0,South
No,41,50-74,Postgraduate,5,Male,0,South
No,14,Less than 25,College,10,Male,0,South
No,27,50-74,College,13,Male,0,South
No,25,50-74,Highschool,10,Male,0,South
No,34,Less than 25,Postgraduate,9,Male,0,South
No,33,Less than 25,Some college,4,Male,0,South
No,34,25-49,Some college,11,Male,0,South
No,34,75+,Postgraduate,11,Male,0,South
No,32,25-49,Some college,6,Male,0,South
No,53,25-49,College,10,Male,1,South
No,54,50-74,Some college,8,Male,0,South
No,33,25-49,Postgraduate,4,Male,1,South
No,32,50-74,College,15,Male,0,South
No,37,75+,Highschool,12,Male,0,South
No,37,75+,Some college,6,Male,0,South
No,34,Less than 25,Highschool,11,Male,0,South
No,59,75+,Less than highschool,9,Male,0,South
No,31,50-74,Some college,11,Male,0,South
No,25,50-74,Postgraduate,6,Male,0,South
No,48,75+,Highschool,10,Male,0,South
No,43,75+,Less than highschool,7,Male,0,South
No,47,75+,Some college,9,Male,0,South
No,34,75+,Some college,10,Male,0,South
No,44,50-74,Less than highschool,12,Male,0,South
No,25,Less than 25,Some college,15,Male,0,South
No,50,75+,College,7,Male,0,South
Yes,35,Less than 25,Postgraduate,2,Male,0,South
No,39,Less than 25,Less than highschool,12,Male,0,South
No,25,Less than 25,College,15,Male,0,South
No,40,75+,Less than highschool,12,Male,0,South
No,38,75+,Some college,10,Male,0,South
No,28,25-49,Less than highschool,15,Male,0,South
No,30,75+,Highschool,13,Male,0,South
Yes,22,Less than 25,Some college,7,Male,0,South
No,60,75+,Postgraduate,10,Male,0,South
No,33,25-49,Postgraduate,4,Male,1,South
No,48,25-49,Highschool,8,Male,1,South
No,34,25-49,College,13,Male,1,South
No,26,50-74,Postgraduate,13,Male,0,South
No,29,25-49,Some college,10,Male,1,South
No,36,25-49,College,14,Male,1,South
No,28,50-74,Some college,5,Male,0,South
No,36,50-74,Less than highschool,2,Male,3,South
No,51,75+,Highschool,6,Male,0,South
No,41,75+,Some college,10,Male,0,South
No,34,25-49,Less than highschool,14,Male,1,South
No,54,50-74,College,9,Male,0,South
No,56,50-74,Postgraduate,9,Male,0,South
No,56,50-74,Postgraduate,11,Male,0,South
No,44,75+,College,4,Male,0,South
No,55,75+,Postgraduate,11,Male,0,South
No,32,75+,College,8,Male,0,South
No,36,Less than 25,Postgraduate,12,Male,0,South
No,35,25-49,Postgraduate,11,Male,0,South
No,44,50-74,Postgraduate,10,Male,0,South
No,40,Less than 25,College,12,Male,0,South
No,39,25-49,Less than highschool,13,Male,1,South
No,40,25-49,Less than highschool,8,Male,1,South
No,49,Less than 25,Postgraduate,11,Male,0,South
No,39,75+,Less than highschool,9,Male,0,South
No,30,75+,Postgraduate,6,Male,0,South
No,44,50-74,Postgraduate,10,Male,0,South
No,38,25-49,Some college,9,Male,1,South
No,32,25-49,College,11,Male,1,South
No,51,75+,Less than highschool,12,Male,0,South
No,42,25-49,College,6,Male,1,South
No,46,Less than 25,Some college,13,Male,0,South
No,36,25-49,Less than highschool,10,Male,0,South
No,35,Less than 25,Postgraduate,3,Male,0,South
No,45,75+,Some college,10,Male,0,South
No,36,75+,Highschool,11,Male,0,South
No,38,50-74,College,9,Male,0,South
No,33,Less than 25,College,12,Male,0,South
No,38,25-49,Highschool,12,Male,1,South
No,40,25-49,Postgraduate,12,Male,0,South
No,20,25-49,College,11,Male,0,South
No,26,75+,Highschool,9,Male,0,South
No,36,75+,Less than highschool,13,Male,0,South
No,19,75+,Less than highschool,12,Male,0,South
No,28,75+,Less than highschool,7,Male,0,South
No,36,50-74,Highschool,8,Male,0,South
No,53,75+,Some college,12,Male,0,South
No,37,Less than 25,Less than highschool,13,Male,0,South
No,34,50-74,Less than highschool,10,Male,0,South
No,30,25-49,Postgraduate,14,Male,0,South
No,43,75+,Postgraduate,7,Male,0,South
No,16,25-49,Some college,16,Male,0,South
No,48,75+,College,11,Male,0,South
No,36,50-74,College,7,Male,0,South
No,38,Less than 25,Some college,6,Male,0,South
No,40,75+,College,8,Male,0,South
No,55,50-74,Less than highschool,9,Male,2,South
No,32,25-49,Postgraduate,4,Male,1,South
No,42,75+,Some college,7,Male,0,South
No,32,25-49,College,11,Male,1,South
No,32,50-74,Highschool,8,Male,0,South
No,50,50-74,Less than highschool,6,Male,0,South
No,60,75+,Less than highschool,7,Male,0,South
No,42,75+,Postgraduate,8,Male,0,South
No,27,Less than 25,Postgraduate,7,Male,0,South
No,20,75+,College,5,Male,0,South
No,52,25-49,Less than highschool,13,Male,1,South
No,32,Less than 25,College,5,Male,0,South
No,38,75+,Some college,7,Male,0,South
No,41,50-74,Highschool,7,Male,0,South
No,27,75+,Some college,7,Male,0,South
No,42,Less than 25,Some college,11,Male,0,South
No,30,50-74,Highschool,9,Male,0,South
No,31,Less than 25,Highschool,10,Male,0,South
No,40,25-49,Less than highschool,11,Male,0,South
No,45,75+,Highschool,12,Male,0,South
No,33,Less than 25,Some college,6,Male,0,South
No,43,Less than 25,Some college,19,Male,0,South
No,34,75+,College,10,Male,0,South
No,46,Less than 25,Postgraduate,8,Male,0,South
No,40,25-49,Highschool,9,Male,1,South
No,20,75+,Some college,6,Male,0,South
No,40,25-49,Some college,17,Male,1,South
No,35,25-49,Less than highschool,4,Male,1,South
No,40,50-74,Highschool,8,Male,0,South
No,52,Less than 25,College,16,Male,0,South
No,39,25-49,Less than highschool,10,Male,1,South
No,37,25-49,Less than highschool,7,Male,0,South
No,31,50-74,Postgraduate,6,Male,0,South
No,32,75+,Less than highschool,11,Male,0,South
No,24,75+,Highschool,9,Male,0,South
No,50,50-74,Postgraduate,5,Male,0,South
No,39,25-49,Less than highschool,10,Male,1,South
No,19,50-74,Highschool,7,Male,0,South
No,51,75+,Postgraduate,7,Male,0,South
No,43,50-74,Some college,7,Male,0,South
No,41,75+,College,8,Male,0,South
No,30,50-74,Highschool,11,Male,0,South
No,28,25-49,Less than highschool,5,Male,0,South
No,39,75+,Less than highschool,9,Male,0,South
No,35,50-74,Some college,11,Male,0,South
No,26,75+,Postgraduate,12,Male,0,South
No,34,50-74,College,10,Male,0,South
No,45,75+,Some college,14,Male,0,South
No,44,Less than 25,Some college,8,Male,0,South
No,29,75+,Highschool,9,Male,0,South
No,33,25-49,College,3,Male,0,South
No,31,Less than 25,Some college,6,Male,0,South
No,35,75+,Less than highschool,6,Male,0,South
No,41,Less than 25,Less than highschool,11,Male,0,South
No,34,75+,Some college,9,Male,0,South
No,44,50-74,Highschool,10,Male,0,South
No,33,Less than 25,Some college,8,Male,0,South
No,39,Less than 25,Less than highschool,12,Male,0,South
No,43,25-49,College,9,Male,1,South
No,21,Less than 25,Highschool,8,Male,0,South
No,48,50-74,Postgraduate,14,Male,0,South
No,20,Less than 25,Postgraduate,12,Male,0,South
No,48,50-74,Highschool,9,Male,0,South
No,28,Less than 25,Some college,9,Male,0,South
No,33,75+,Postgraduate,14,Male,0,South
Yes,41,25-49,Some college,8,Male,1,South
No,32,75+,Postgraduate,12,Male,0,South
No,32,25-49,Less than highschool,9,Male,1,South
No,38,50-74,Highschool,7,Male,0,South
No,36,50-74,Some college,11,Male,0,South
No,23,50-74,College,13,Male,0,South
No,51,25-49,Some college,12,Male,1,South
No,21,50-74,Highschool,8,Male,0,South
No,57,50-74,College,10,Male,0,South
No,52,50-74,Less than highschool,5,Male,0,South
No,30,Less than 25,Highschool,11,Male,0,South
No,14,75+,Some college,7,Male,0,South
Yes,17,Less than 25,Postgraduate,12,Male,0,South
No,33,50-74,Postgraduate,10,Male,0,South
No,33,75+,Postgraduate,6,Male,0,South
No,46,50-74,Highschool,8,Male,0,South
No,36,75+,Highschool,7,Male,0,South
No,60,75+,Less than highschool,10,Male,0,South
No,35,25-49,Postgraduate,9,Male,0,South
No,52,Less than 25,College,6,Male,0,South
No,27,Less than 25,Highschool,7,Male,0,South
No,26,Less than 25,Highschool,8,Male,0,South
No,32,Less than 25,Some college,4,Male,0,South
No,38,25-49,Less than highschool,9,Male,1,South
No,27,25-49,Postgraduate,10,Male,0,South
No,58,25-49,Some college,12,Male,1,South
No,43,Less than 25,Some college,16,Male,0,South
No,34,75+,College,14,Male,0,South
No,43,Less than 25,Less than highschool,10,Male,0,South
No,38,Less than 25,Some college,13,Male,0,South
No,56,75+,College,11,Male,0,South
No,37,50-74,Highschool,12,Male,0,South
No,29,Less than 25,College,12,Male,0,South
No,43,50-74,Some college,15,Male,0,South
No,48,50-74,Postgraduate,0,Male,0,South
No,66,50-74,Less than highschool,10,Male,3,South
No,41,75+,Postgraduate,7,Male,0,South
No,33,75+,Highschool,12,Male,0,South
No,41,Less than 25,Less than highschool,9,Male,0,South
No,21,Less than 25,Highschool,11,Male,0,South
Yes,49,50-74,Less than highschool,8,Male,0,South
No,49,50-74,Some college,7,Male,0,South
No,32,Less than 25,Postgraduate,3,Male,0,South
