gender,card,type,items,spent
1,4,5,0,0
1,4,1,0,0
1,4,2,6,376.06
1,4,3,1,117.46
1,4,4,0,0
1,4,5,1,99.53
1,4,1,0,0
1,4,2,7,589.47
1,4,3,1,122.28
1,4,4,0,0
1,4,5,1,99.66
1,4,1,0,0
1,4,2,10,441.69
1,4,3,0,0
1,4,4,1,181.35
1,4,5,1,68.77
1,4,1,0,0
1,4,2,3,80.1
1,4,3,0,0
1,4,4,0,0
1,4,5,2,131.22
1,4,1,5,339.56
1,4,2,3,229.11
1,4,3,0,0
1,4,4,0,0
1,4,5,2,109.48
1,4,1,1,49.15
1,4,2,1,40.15
1,4,3,2,169.81
1,4,4,1,134.49
1,4,5,0,0
1,4,1,2,95.1
1,4,2,3,196.08
1,4,3,0,0
1,4,4,0,0
1,4,5,0,0
1,4,1,0,0
1,4,2,6,427.8
1,4,3,3,168.22
1,4,4,0,0
1,4,5,3,168.3
1,4,1,2,154.8
1,4,2,5,324.63
1,4,3,0,0
1,4,4,0,0
1,4,5,2,157.94
1,4,1,3,193.26
1,4,2,2,100.25
1,4,3,0,0
1,4,4,0,0
1,4,5,3,234.56
1,4,1,0,0
1,4,2,2,162.1
1,4,3,1,53.65
1,4,4,0,0
1,4,5,2,122.24
1,4,1,0,0
1,4,2,0,0
1,4,3,0,0
1,4,4,0,0
1,4,5,0,0
1,4,1,1,46.02
1,4,2,10,750.76
1,4,3,0,0
1,4,4,2,309.52
1,4,5,3,164.81
1,4,1,1,57.18
1,4,2,9,660.86
1,4,3,0,0
1,4,4,0,0
1,4,5,0,0
1,4,1,1,88.06
1,4,2,10,408.9
1,4,3,0,0
1,4,4,0,0
1,4,5,1,96.41
1,4,1,0,0
1,4,2,4,324.91
1,4,3,0,0
1,4,4,0,0
1,4,5,0,0
1,2,1,3,201.55
1,2,2,3,199.57
1,2,3,2,182.68
1,2,4,1,204.21
1,2,5,5,450.2
1,2,1,2,133.36
1,2,2,4,297.69
1,2,3,1,60.71
1,2,4,2,273.44
1,2,5,6,541.03
1,2,1,4,211.06
1,2,2,7,506.82
1,2,3,2,195.85
1,2,4,2,282.07
1,2,5,5,374.75
1,2,1,3,226.76
1,2,2,8,271.78
1,2,3,3,285.1
1,2,4,3,329.62
1,2,5,5,398.08
1,2,1,5,372.18
1,2,2,7,681.65
1,2,3,1,112.95
1,2,4,2,305.45
1,2,5,5,397.86
1,2,1,3,199.57
1,2,2,8,510.69
1,2,3,5,659.97
1,2,4,3,592.64
1,2,5,4,341.17
1,2,1,2,130.55
1,2,2,8,743.5
1,2,3,3,283.82
1,2,4,5,1016.76
1,2,5,2,171.19
1,2,1,2,139.12
1,2,2,5,260.89
1,2,3,2,132.63
1,2,4,1,159.56
1,2,5,3,188.64
1,2,1,1,90.91
1,2,2,9,463.23
1,2,3,3,357.43
1,2,4,4,703.62
1,2,5,3,192.98
1,2,1,5,452.23
1,2,2,8,629.69
1,2,3,2,210.8
1,2,4,2,249.12
1,2,5,6,617.8
1,2,1,5,340.15
1,2,2,8,615.39
1,2,3,2,261.3
1,2,4,2,270.59
1,2,5,0,0
1,2,1,5,306.78
1,2,2,7,453.74
1,2,3,1,72.35
1,2,4,0,0
1,2,5,2,160.01
1,2,1,5,450.87
1,2,2,9,889.42
1,2,3,1,94.22
1,2,4,2,259.63
1,2,5,7,565.26
1,2,1,3,183.05
1,2,2,8,527.81
1,2,3,4,346.97
1,2,4,2,208.31
1,2,5,5,447.14
1,2,1,5,411.41
1,2,2,10,945.81
1,2,3,0,0
1,2,4,2,282.94
1,2,5,4,231.97
1,2,1,3,229.43
1,2,2,6,465.14
1,2,3,1,148.21
1,2,4,2,212.39
1,2,5,4,294.99
1,2,1,4,313.79
1,2,2,9,589.6
1,2,3,1,83.75
1,2,4,4,779.84
1,2,5,7,524.73
1,2,1,2,171.71
1,2,2,10,434.94
1,2,3,2,156
1,2,4,2,287.4
1,2,5,1,60.44
1,2,1,2,163.2
1,2,2,5,488.97
1,2,3,0,0
1,2,4,2,262.88
1,2,5,5,372.83
1,2,1,3,160.86
1,2,2,1,85.72
1,2,3,3,436.38
1,2,4,4,550.7
1,2,5,1,81.16
1,2,1,3,248.16
1,2,2,10,771.47
1,2,3,1,110.45
1,2,4,3,340.4
1,2,5,4,396
1,2,1,2,172
1,2,2,6,242.64
1,2,3,4,408.57
1,2,4,5,754.67
1,2,5,6,343.45
1,2,1,3,241.24
1,2,2,3,288.05
1,2,3,1,91.58
1,2,4,2,254.94
1,2,5,4,311.52
1,2,1,3,170.33
1,2,2,0,0
1,2,3,4,315.5
1,2,4,1,185.35
1,2,5,6,524.3
0,3,1,2,122.87
0,3,2,5,314.94
0,3,3,0,0
0,3,4,1,125.53
0,3,5,4,354.14
0,3,1,0,0
0,3,2,9,690.14
0,3,3,1,112.99
0,3,4,1,124.57
0,3,5,3,255.61
0,3,1,4,241.64
0,3,2,5,425.43
0,3,3,1,108.1
0,3,4,3,562.51
0,3,5,4,346.38
0,3,1,1,93.11
0,3,2,6,330.37
0,3,3,0,0
0,3,4,0,0
0,3,5,3,214.88
0,3,1,3,169.84
0,3,2,4,137.34
0,3,3,1,74.72
0,3,4,2,317.18
0,3,5,4,351.33
0,3,1,1,49.67
0,3,2,1,48.51
0,3,3,0,0
0,3,4,0,0
0,3,5,4,226.57
0,3,1,5,328.01
0,3,2,10,734.63
0,3,3,1,146.75
0,3,4,1,209.09
0,3,5,1,100.09
0,3,1,4,207.24
0,3,2,2,134.78
0,3,3,2,267.3
0,3,4,0,0
0,3,5,5,495.65
0,3,1,1,56.98
0,3,2,9,774.74
0,3,3,1,73.04
0,3,4,0,0
0,3,5,3,215.76
0,3,1,1,60.22
0,3,2,4,270.3
0,3,3,0,0
0,3,4,1,179.29
0,3,5,4,356.46
0,3,1,1,66.71
0,3,2,3,227.8
0,3,3,2,255.37
0,3,4,3,601.87
0,3,5,5,369.66
0,3,1,4,235.42
0,3,2,6,264.47
0,3,3,0,0
0,3,4,3,540.29
0,3,5,4,272.63
0,3,1,0,0
0,3,2,9,551.8
0,3,3,2,216.15
0,3,4,5,895.99
0,3,5,4,345.23
0,3,1,2,141.39
0,3,2,0,0
0,3,3,0,0
0,3,4,5,857.08
0,3,5,2,193.49
0,3,1,2,168.86
0,3,2,2,82.74
0,3,3,2,114.82
0,3,4,2,394.48
0,3,5,0,0
0,3,1,2,99.63
0,3,2,8,396.17
0,3,3,0,0
0,3,4,0,0
0,3,5,1,76.53
0,3,1,0,0
0,3,2,1,36.27
0,3,3,2,260.2
0,3,4,0,0
0,3,5,3,166.82
0,3,1,1,63.29
0,3,2,9,445.86
0,3,3,1,56.07
0,3,4,0,0
0,3,5,2,114.41
0,3,1,5,257.73
0,3,2,2,147.47
0,3,3,0,0
0,3,4,0,0
0,3,5,2,200.89
0,3,1,2,113.43
0,3,2,4,257.21
0,3,3,0,0
0,3,4,2,311.65
0,3,5,2,184.92
0,3,1,4,254.98
0,3,2,9,620.17
0,3,3,4,263.21
0,3,4,4,677.94
0,3,5,6,390.86
0,3,1,0,0
0,3,2,3,183.49
0,3,3,0,0
0,3,4,2,371.28
0,3,5,4,219.45
0,3,1,1,66.3
0,3,2,2,114.32
0,3,3,1,73.78
0,3,4,1,120.44
0,3,5,0,0
0,3,1,5,336.31
0,3,2,7,386.46
0,3,3,0,0
0,3,4,1,172.21
0,3,5,3,190.34
1,3,1,1,101.05
1,3,2,5,420.11
1,3,3,0,0
1,3,4,0,0
1,3,5,1,99.82
1,3,1,2,105.67
1,3,2,0,0
1,3,3,0,0
1,3,4,1,121.38
1,3,5,1,54.16
1,3,1,0,0
1,3,2,1,47.04
1,3,3,1,51.94
1,3,4,0,0
1,3,5,3,221.31
1,3,1,1,53.49
1,3,2,0,0
1,3,3,2,170.62
1,3,4,3,442.57
1,3,5,3,241.41
1,3,1,2,169.75
1,3,2,4,119.13
1,3,3,0,0
1,3,4,2,372.2
1,3,5,5,497.42
1,3,1,4,195.63
1,3,2,4,178.29
1,3,3,0,0
1,3,4,5,925.95
1,3,5,0,0
1,3,1,0,0
1,3,2,0,0
1,3,3,1,112.2
1,3,4,3,571.13
1,3,5,0,0
1,3,1,1,72.81
1,3,2,0,0
1,3,3,0,0
1,3,4,0,0
1,3,5,4,323.55
1,3,1,2,125.08
1,3,2,2,151.57
1,3,3,2,116.11
1,3,4,0,0
1,3,5,1,95
1,3,1,4,276.51
1,3,2,6,164.51
1,3,3,0,0
1,3,4,2,250.68
1,3,5,4,366.67
1,3,1,2,109.79
1,3,2,2,72.78
1,3,3,0,0
1,3,4,4,444.48
1,3,5,3,304.63
1,3,1,1,80.51
1,3,2,0,0
1,3,3,0,0
1,3,4,1,123.38
1,3,5,0,0
1,3,1,4,202.99
1,3,2,0,0
1,3,3,0,0
1,3,4,3,389.25
1,3,5,5,427.32
1,3,1,0,0
1,3,2,3,230.12
1,3,3,0,0
1,3,4,0,0
1,3,5,0,0
1,3,1,2,148.27
1,3,2,0,0
1,3,3,0,0
1,3,4,1,163.11
1,3,5,1,92.57
1,3,1,1,48.42
1,3,2,0,0
1,3,3,0,0
1,3,4,1,133.69
1,3,5,5,312.69
1,3,1,3,190.01
1,3,2,6,277.37
1,3,3,0,0
1,3,4,0,0
1,3,5,2,178.15
1,3,1,2,139.28
1,3,2,2,104.9
1,3,3,0,0
1,3,4,1,180.53
1,3,5,1,53.89
1,3,1,4,251.63
1,3,2,6,254.46
1,3,3,1,148.72
1,3,4,0,0
1,3,5,0,0
1,3,1,1,67.06
1,3,2,2,80.65
1,3,3,0,0
1,3,4,2,279.65
1,3,5,0,0
1,3,1,4,237.07
1,3,2,2,124.38
1,3,3,2,238.54
1,3,4,2,305.27
1,3,5,2,180.03
1,3,1,2,120.15
1,3,2,0,0
1,3,3,0,0
1,3,4,1,185.17
1,3,5,2,193.44
1,3,1,1,71.12
1,3,2,7,550.21
1,3,3,2,143.49
1,3,4,1,174.45
1,3,5,2,172.07
1,3,1,0,0
1,3,2,6,491.69
1,3,3,0,0
1,3,4,4,662.3
1,3,5,2,176.88
1,2,1,1,82.98
1,2,2,10,853.38
1,2,3,0,0
1,2,4,1,128.5
1,2,5,1,71.95
1,2,1,1,49.55
1,2,2,9,350.87
1,2,3,0,0
1,2,4,1,191.56
1,2,5,6,423.26
1,2,1,5,260.61
1,2,2,7,636.53
1,2,3,1,156.96
1,2,4,0,0
1,2,5,2,155.79
1,2,1,1,87.24
1,2,2,9,564.33
1,2,3,1,86.06
1,2,4,4,673.71
1,2,5,1,81.26
1,2,1,0,0
1,2,2,5,388.36
1,2,3,1,71.17
1,2,4,5,892.53
1,2,5,5,327.8
1,2,1,3,136.29
1,2,2,1,71.77
1,2,3,0,0
1,2,4,2,362.12
1,2,5,4,221.1
1,2,1,0,0
1,2,2,11,632.63
1,2,3,5,570.36
1,2,4,1,192.15
1,2,5,4,375.4
1,2,1,2,88.46
1,2,2,6,473.77
1,2,3,0,0
1,2,4,3,445.02
1,2,5,1,85.56
1,2,1,4,209.37
1,2,2,9,732.2
1,2,3,1,121.54
1,2,4,4,789.33
1,2,5,2,156.83
1,2,1,3,197.91
1,2,2,11,794.35
1,2,3,3,171.07
1,2,4,1,187.06
1,2,5,7,721.22
1,2,1,3,164
1,2,2,6,259.18
1,2,3,1,96.42
1,2,4,2,359.08
1,2,5,6,515.51
1,2,1,2,104.22
1,2,2,4,206.97
1,2,3,0,0
1,2,4,2,212.4
1,2,5,5,313.25
1,2,1,2,137.41
1,2,2,2,179.69
1,2,3,0,0
1,2,4,0,0
1,2,5,4,355.46
1,2,1,5,397.79
1,2,2,7,483.09
1,2,3,0,0
1,2,4,3,395.56
1,2,5,5,385.78
1,2,1,3,253.33
1,2,2,10,490.51
1,2,3,0,0
1,2,4,1,159.1
1,2,5,1,68.97
1,2,1,0,0
1,2,2,2,73.56
1,2,3,0,0
1,2,4,3,557.51
1,2,5,2,194.61
1,2,1,1,75.75
1,2,2,6,266.67
1,2,3,0,0
1,2,4,2,408.84
1,2,5,0,0
1,2,1,2,162.73
1,2,2,9,432.04
1,2,3,2,267.81
1,2,4,1,142.81
1,2,5,6,453.21
1,2,1,3,229.27
1,2,2,4,155.25
1,2,3,0,0
1,2,4,1,198.78
1,2,5,5,269.25
1,2,1,0,0
1,2,2,4,251.21
1,2,3,4,561.65
1,2,4,4,641.26
1,2,5,6,584.68
1,2,1,5,322.17
1,2,2,8,744.45
1,2,3,0,0
1,2,4,1,112.23
1,2,5,4,262.36
1,2,1,5,266.52
1,2,2,9,680.53
1,2,3,0,0
1,2,4,2,320.45
1,2,5,5,349.55
1,2,1,1,76.35
1,2,2,6,392.47
1,2,3,0,0
1,2,4,2,401.13
1,2,5,4,222.84
1,2,1,3,138.41
1,2,2,9,593.96
1,2,3,1,135.77
1,2,4,4,563.7
1,2,5,5,436.66
0,3,1,2,139.29
0,3,2,5,274.31
0,3,3,0,0
0,3,4,4,452.91
0,3,5,1,92.49
0,3,1,1,58.75
0,3,2,1,75.14
0,3,3,0,0
0,3,4,3,361.16
0,3,5,4,424.11
0,3,1,1,88.11
0,3,2,1,91.49
0,3,3,1,72.96
0,3,4,1,162.98
0,3,5,5,424.83
0,3,1,4,246.94
0,3,2,1,70.26
0,3,3,2,254.46
0,3,4,0,0
0,3,5,6,595.49
0,3,1,2,149.47
0,3,2,4,168.26
0,3,3,2,125.69
0,3,4,2,360.32
0,3,5,3,264.83
0,3,1,2,174.22
0,3,2,0,0
0,3,3,1,84.1
0,3,4,2,243.06
0,3,5,5,346.79
0,3,1,2,148.01
0,3,2,1,41.09
0,3,3,2,184.56
0,3,4,2,257.71
0,3,5,0,0
0,3,1,1,81.26
0,3,2,9,265.21
0,3,3,3,392.37
0,3,4,3,525.03
0,3,5,4,229.98
0,3,1,2,145.97
0,3,2,1,65.66
0,3,3,3,332.76
0,3,4,2,254.02
0,3,5,1,80.35
0,3,1,3,248.32
0,3,2,10,486.43
0,3,3,3,211.77
0,3,4,1,104.83
0,3,5,1,79.11
0,3,1,4,347.72
0,3,2,2,159.53
0,3,3,4,620.43
0,3,4,0,0
0,3,5,3,232.58
0,3,1,1,66.55
0,3,2,1,32.13
0,3,3,1,131.6
0,3,4,1,134.92
0,3,5,0,0
0,3,1,3,260.74
0,3,2,8,482.25
0,3,3,2,136.25
0,3,4,1,176.36
0,3,5,1,58.43
0,3,1,0,0
0,3,2,3,259.44
0,3,3,2,142.9
0,3,4,3,394.52
0,3,5,1,57.56
0,3,1,1,82.5
0,3,2,3,248.72
0,3,3,4,352.46
0,3,4,3,595.24
0,3,5,6,437.02
0,3,1,3,203.37
0,3,2,2,143.31
0,3,3,0,0
0,3,4,0,0
0,3,5,1,99.82
0,3,1,4,264.12
0,3,2,0,0
0,3,3,0,0
0,3,4,1,136.58
0,3,5,3,230.97
0,3,1,0,0
0,3,2,5,264.22
0,3,3,2,144.78
0,3,4,1,165.77
0,3,5,5,283.16
0,3,1,3,198.66
0,3,2,0,0
0,3,3,2,165.27
0,3,4,2,353.2
0,3,5,2,207.66
0,3,1,1,64.33
0,3,2,1,67.9
0,3,3,3,164.58
0,3,4,2,351.92
0,3,5,0,0
0,3,1,3,213.87
0,3,2,8,641.8
0,3,3,2,289.69
0,3,4,2,323.43
0,3,5,0,0
0,3,1,4,332.76
0,3,2,1,70.29
0,3,3,1,67.32
0,3,4,1,168.14
0,3,5,3,269.94
0,3,1,1,83.52
0,3,2,3,183.78
0,3,3,2,218.97
0,3,4,5,708.7
0,3,5,2,120.8
0,3,1,5,438.4
0,3,2,0,0
0,3,3,6,448.18
0,3,4,2,230.72
0,3,5,2,172.59
1,1,1,1,85.93
1,1,2,3,223.43
1,1,3,3,290.99
1,1,4,3,351.36
1,1,5,1,100.08
1,1,1,3,186.52
1,1,2,3,200.81
1,1,3,2,239.18
1,1,4,0,0
1,1,5,0,0
1,1,1,4,364.36
1,1,2,5,296.05
1,1,3,0,0
1,1,4,0,0
1,1,5,2,115.67
1,1,1,4,202.7
1,1,2,2,91.66
1,1,3,1,61.66
1,1,4,1,202.67
1,1,5,1,54.53
1,1,1,4,297.33
1,1,2,0,0
1,1,3,5,525.06
1,1,4,2,366.75
1,1,5,2,199.5
1,1,1,0,0
1,1,2,4,193.19
1,1,3,5,424.28
1,1,4,2,215.23
1,1,5,2,128.93
1,1,1,5,444.21
1,1,2,1,50.28
1,1,3,3,353.56
1,1,4,0,0
1,1,5,1,89.18
1,1,1,1,59.09
1,1,2,9,555.22
1,1,3,1,61.26
1,1,4,1,112.84
1,1,5,5,426.89
1,1,1,1,85.31
1,1,2,2,69.86
1,1,3,4,426.33
1,1,4,0,0
1,1,5,3,300.85
1,1,1,0,0
1,1,2,7,318.86
1,1,3,4,498.27
1,1,4,0,0
1,1,5,3,297.09
1,1,1,4,361.28
1,1,2,2,70.01
1,1,3,5,371.24
1,1,4,2,370.47
1,1,5,6,394.28
1,1,1,4,345.1
1,1,2,5,386.84
1,1,3,1,137.03
1,1,4,3,491.63
1,1,5,4,278.47
1,1,1,3,227.73
1,1,2,5,409.79
1,1,3,2,127.85
1,1,4,1,160.14
1,1,5,1,99.59
1,1,1,1,72.48
1,1,2,3,179.03
1,1,3,5,686.88
1,1,4,4,759.14
1,1,5,7,430.33
1,1,1,4,291.87
1,1,2,2,138.35
1,1,3,2,253.94
1,1,4,1,158.22
1,1,5,1,92.86
1,1,1,4,276.32
1,1,2,2,107.35
1,1,3,4,494.21
1,1,4,2,332.3
1,1,5,2,163.69
1,1,1,2,177.49
1,1,2,2,114
1,1,3,2,223.44
1,1,4,1,106.24
1,1,5,6,482.43
1,1,1,5,336.15
1,1,2,1,23.7
1,1,3,0,0
1,1,4,1,132.04
1,1,5,2,136.71
1,1,1,1,83.51
1,1,2,2,73.56
1,1,3,3,344.8
1,1,4,1,127.01
1,1,5,0,0
1,1,1,0,0
1,1,2,7,512.46
1,1,3,5,624.1
1,1,4,2,277.56
1,1,5,3,168.12
1,1,1,1,65.83
1,1,2,6,191.58
1,1,3,0,0
1,1,4,0,0
1,1,5,1,61.04
1,1,1,5,445.15
1,1,2,7,212.44
1,1,3,3,348.75
1,1,4,1,164.92
1,1,5,1,78.63
1,1,1,2,165.02
1,1,2,6,397.08
1,1,3,2,153.95
1,1,4,2,250.56
1,1,5,3,175.02
1,1,1,2,171.47
1,1,2,6,508.98
1,1,3,2,159.89
1,1,4,0,0
1,1,5,0,0
1,3,1,2,94.4
1,3,2,9,487.05
1,3,3,0,0
1,3,4,3,450.32
1,3,5,0,0
1,3,1,1,85.17
1,3,2,2,80.49
1,3,3,0,0
1,3,4,1,191.75
1,3,5,1,100.89
1,3,1,3,239.55
1,3,2,2,58.18
1,3,3,2,233.31
1,3,4,0,0
1,3,5,2,212.02
1,3,1,0,0
1,3,2,4,322.11
1,3,3,2,130.51
1,3,4,3,346.65
1,3,5,0,0
1,3,1,0,0
1,3,2,8,181.46
1,3,3,3,431.44
1,3,4,2,214.33
1,3,5,1,101.41
1,3,1,0,0
1,3,2,9,427.92
1,3,3,0,0
1,3,4,0,0
1,3,5,1,94.06
1,3,1,1,81.38
1,3,2,3,235.96
1,3,3,0,0
1,3,4,0,0
1,3,5,1,84.68
1,3,1,0,0
1,3,2,8,214.02
1,3,3,1,85.85
1,3,4,0,0
1,3,5,0,0
1,3,1,3,156.53
1,3,2,9,403.46
1,3,3,1,101.94
1,3,4,0,0
1,3,5,0,0
1,3,1,0,0
1,3,2,4,323.22
1,3,3,0,0
1,3,4,1,116.68
1,3,5,0,0
1,3,1,0,0
1,3,2,0,0
1,3,3,0,0
1,3,4,0,0
1,3,5,0,0
1,3,1,0,0
1,3,2,0,0
1,3,3,0,0
1,3,4,0,0
1,3,5,0,0
1,3,1,0,0
1,3,2,7,494.22
1,3,3,2,255.14
1,3,4,1,193.37
1,3,5,0,0
1,3,1,1,51.21
1,3,2,0,0
1,3,3,0,0
1,3,4,0,0
1,3,5,0,0
1,3,1,2,107.5
1,3,2,1,36.72
1,3,3,1,109.82
1,3,4,2,398.94
1,3,5,0,0
1,3,1,1,60.18
1,3,2,1,53.23
1,3,3,2,132.53
1,3,4,0,0
1,3,5,0,0
1,3,1,0,0
1,3,2,3,180.95
1,3,3,0,0
1,3,4,0,0
1,3,5,0,0
1,3,1,0,0
1,3,2,1,46.8
1,3,3,2,233.99
1,3,4,0,0
1,3,5,0,0
1,3,1,0,0
1,3,2,2,94.14
1,3,3,0,0
1,3,4,0,0
1,3,5,0,0
1,3,1,0,0
1,3,2,0,0
1,3,3,0,0
1,3,4,0,0
1,3,5,0,0
1,3,1,1,64.31
1,3,2,2,124.09
1,3,3,2,237.02
1,3,4,0,0
1,3,5,0,0
1,3,1,0,0
1,3,2,5,229.63
1,3,3,0,0
1,3,4,0,0
1,3,5,4,274.04
1,3,1,1,57.23
1,3,2,1,37.62
1,3,3,1,55.71
1,3,4,1,125.94
1,3,5,5,333.41
1,3,1,0,0
1,3,2,1,71.36
1,3,3,1,126.1
1,3,4,0,0
1,3,5,0,0
0,2,1,1,53.49
0,2,2,1,67.39
0,2,3,0,0
0,2,4,2,233.78
0,2,5,5,383.87
0,2,1,0,0
0,2,2,3,112.17
0,2,3,0,0
0,2,4,1,156.24
0,2,5,0,0
0,2,1,1,45.89
0,2,2,2,139.39
